File Name,Depth, Hegazy Vs, Andrus-H Vs,Andrus-P Vs, Rob Vs, Mc15 Vs,  Mc18 Vs
SCPT_195188_Raw01,5.73,136.4,99.37,120.97,118.85,89.46,218.87
SCPT_195188_Raw01,5.75,132.55,99.56,121.2,118.03,89.34,217.09
SCPT_195188_Raw01,5.77,131.05,98.87,120.37,117.05,89,216.82
SCPT_195188_Raw01,5.79,132.42,99.32,120.92,117.68,89.42,217.86
SCPT_195188_Raw01,5.81,132.77,99.59,121.24,117.93,89.71,218.47
SCPT_195188_Raw01,5.83,134.25,100.88,122.81,119.28,90.61,219.54
SCPT_195188_Raw01,5.85,135.86,101.87,124.02,120.41,91.3,220.56
SCPT_195188_Raw01,5.87,137.26,102.8,125.15,121.44,91.97,221.57
SCPT_195188_Raw01,5.89,136.11,104.21,126.86,122.24,92.67,221.09
SCPT_195188_Raw01,5.91,136.09,104.89,127.69,122.72,92.93,220.92
SCPT_195188_Raw01,5.93,135.39,103.82,126.39,121.64,92.27,220.64
SCPT_195188_Raw01,5.95,131.2,103.19,125.62,120.06,91.72,218.76
SCPT_195188_Raw01,5.97,122.91,102.69,125.01,117.55,90.72,213.93
SCPT_195188_Raw01,5.99,133.26,104.28,126.95,121.32,92.59,220.43
SCPT_195188_Raw01,6.01,158.77,106.18,129.26,128.68,95.41,233.32
SCPT_195188_Raw01,6.03,158.57,105.25,128.13,127.56,94.86,233.71
SCPT_195188_Raw01,6.05,155.6,104.15,126.79,125.78,94.29,233.28
SCPT_195188_Raw01,6.07,157.11,104.06,126.68,125.83,94.53,234.84
SCPT_195188_Raw01,6.09,169.43,108.8,132.46,132.82,97.58,238.92
SCPT_195188_Raw01,6.11,182.31,112.17,136.55,138.27,100.3,244.75
SCPT_195188_Raw01,6.13,217.16,116.68,142.05,148.23,104.38,258.28
SCPT_195188_Raw01,6.15,269.56,122.9,149.62,161.98,109.86,275.42
SCPT_195188_Raw01,6.17,309.3,128.23,156.1,172.6,113.57,285.25
SCPT_195188_Raw01,6.19,354.94,133.01,161.93,183.08,116.84,295.05
SCPT_195188_Raw01,6.21,383.08,135.7,165.2,189.06,118.77,300.92
SCPT_195188_Raw01,6.23,397.21,136.32,165.96,191.21,119.27,303.73
SCPT_195188_Raw01,6.25,404.32,135.63,165.11,191.18,119.12,305.59
SCPT_195188_Raw01,6.27,402.42,135.33,164.75,190.54,119.03,305.72
SCPT_195188_Raw01,6.29,395.88,134.91,164.24,189.24,118.78,304.92
SCPT_195188_Raw01,6.31,391.65,134.72,164,188.44,118.71,304.58
SCPT_195188_Raw01,6.33,394.93,134.75,164.04,188.73,118.91,305.75
SCPT_195188_Raw01,6.35,424.55,135.05,164.4,192.22,119.78,312.04
SCPT_195188_Raw01,6.37,455.68,145.35,176.94,206.16,126.13,318.34
SCPT_195188_Raw01,6.39,466.78,159.06,193.64,221.15,134.25,322.09
SCPT_195188_Raw01,6.41,404.06,180.62,219.89,229.39,147.54,322.72
SCPT_195188_Raw01,6.43,358.61,188.81,229.86,228.83,153.37,319.95
SCPT_195188_Raw01,6.45,356.11,194.48,236.75,232.95,157.6,322.64
SCPT_195188_Raw01,6.47,367.86,202.13,246.07,240.99,163.21,328.52
SCPT_195188_Raw01,6.49,394.48,206.83,251.79,248.76,166.25,334.84
SCPT_195188_Raw01,6.51,416.31,211.88,257.94,256.05,169.63,340.43
SCPT_195188_Raw01,6.53,434.94,221.04,269.1,266.37,176.19,347.42
SCPT_195188_Raw01,6.55,461.12,228.78,278.52,276.52,181.47,354.39
SCPT_195188_Raw01,6.57,444.45,232.54,283.09,277.72,185.12,354.71
SCPT_195188_Raw01,6.59,439.19,234.61,285.61,278.93,187.14,355.49
SCPT_195188_Raw01,6.61,462.32,238.74,290.64,285.51,189.6,360.23
SCPT_195188_Raw01,6.63,455.47,241.8,294.37,287.56,192.6,361.37
SCPT_195188_Raw01,6.65,458.21,244.67,297.86,290.61,195.01,363.38
SCPT_195188_Raw01,6.67,460.71,246.15,299.66,292.27,196.23,364.66
SCPT_195188_Raw01,6.69,472.08,248.23,302.19,295.49,197.47,367.07
SCPT_195188_Raw01,6.71,478.18,249.38,303.59,297.21,198.19,368.51
SCPT_195188_Raw01,6.73,478.87,251.63,306.33,299.48,200.2,369.99
SCPT_195188_Raw01,6.75,479.98,253.52,308.63,301.45,201.89,371.33
SCPT_195188_Raw01,6.77,472.06,254.93,310.35,302.1,203.8,371.64
SCPT_195188_Raw01,6.79,474.32,256.76,312.57,304.19,205.42,373.07
SCPT_195188_Raw01,6.81,479.83,258.8,315.06,306.83,207.02,374.88
SCPT_195188_Raw01,6.83,491.38,260.99,317.73,310.15,208.29,377.25
SCPT_195188_Raw01,6.85,504.1,263.2,320.42,313.59,209.5,379.7
SCPT_195188_Raw01,6.87,515,264.5,322.01,315.87,209.99,381.52
SCPT_195188_Raw01,6.89,519.73,265.07,322.7,316.81,210.23,382.46
SCPT_195188_Raw01,6.91,520.8,264.87,322.45,316.6,210.01,382.74
SCPT_195188_Raw01,6.93,513.86,263.41,320.67,314.32,209.15,381.74
SCPT_195188_Raw01,6.95,509.22,262.15,319.14,312.47,208.34,381.02
SCPT_195188_Raw01,6.97,500.54,260.36,316.96,309.68,207.3,379.68
SCPT_195188_Raw01,6.99,489.17,258.13,314.25,306.17,206.03,377.86
SCPT_195188_Raw01,7.01,474.67,255.59,311.15,302.03,204.69,375.56
SCPT_195188_Raw01,7.03,455.84,251.82,306.56,296.16,202.51,372.16
SCPT_195188_Raw01,7.05,439.08,248.44,302.45,290.89,200.56,369.06
SCPT_195188_Raw01,7.07,422.86,244.89,298.12,285.48,198.41,365.81
SCPT_195188_Raw01,7.09,417.12,241.74,294.29,281.53,195.89,363.84
SCPT_195188_Raw01,7.11,401.41,238.45,290.29,276.43,193.95,360.64
SCPT_195188_Raw01,7.13,388.6,235.41,286.59,271.87,192.04,357.81
SCPT_195188_Raw01,7.15,379.93,233.91,284.76,269.33,191.3,356.24
SCPT_195188_Raw01,7.17,367.51,232.53,283.08,266.52,190.97,354.22
SCPT_195188_Raw01,7.19,364.75,232.75,283.34,266.39,191.44,354.25
SCPT_195188_Raw01,7.21,367.18,233.46,284.22,267.31,191.98,355.2
SCPT_195188_Raw01,7.23,377.82,235.6,286.82,270.56,193.24,357.92
SCPT_195188_Raw01,7.25,379.64,237.38,288.98,272.54,194.87,359.36
SCPT_195188_Raw01,7.27,388.33,241.32,293.78,277.55,198.09,362.76
SCPT_195188_Raw01,7.29,406.8,246.93,300.61,285.31,202.15,368.08
SCPT_195188_Raw01,7.31,410.48,249.15,303.31,288.03,204.12,369.92
SCPT_195188_Raw01,7.33,422.91,249.83,304.14,289.72,203.69,371.81
SCPT_195188_Raw01,7.35,435.11,248.41,302.42,289.21,201.4,372.66
SCPT_195188_Raw01,7.37,431.71,240.46,292.73,280.68,194.49,368.73
SCPT_195188_Raw01,7.39,444.21,233.78,284.6,275.74,188.48,367.52
SCPT_195188_Raw01,7.41,467.37,227.45,276.9,272.91,183.08,368.04
SCPT_195188_Raw01,7.43,475.39,221.26,269.37,268.55,178.55,366.86
SCPT_195188_Raw01,7.45,439.61,216,262.96,259.31,175.41,360.34
SCPT_195188_Raw01,7.47,391.71,211.23,257.15,248.65,172.82,351.74
SCPT_195188_Raw01,7.49,353.54,203,247.13,236.14,167.46,342.34
SCPT_195188_Raw01,7.51,357.82,194.15,236.36,229.33,160.99,339.61
SCPT_195188_Raw01,7.53,324.02,178.57,217.39,211.41,150.26,327.26
SCPT_195188_Raw01,7.55,294.4,169.12,205.88,199,143.75,317.59
SCPT_195188_Raw01,7.57,251.46,159.74,194.47,184.12,137.04,303.77
SCPT_195188_Raw01,7.59,227.52,148.46,180.73,170.77,129.04,293.2
SCPT_195188_Raw01,7.61,221.91,142.19,173.1,164.68,124.83,289.84
SCPT_195188_Raw01,7.63,215.06,136.86,166.62,159.06,121.27,286.55
SCPT_195188_Raw01,7.65,192.7,129.96,158.21,149.11,116.85,278.91
SCPT_195188_Raw01,7.67,183.26,125.48,152.76,143.45,113.89,275.35
SCPT_195188_Raw01,7.69,170.44,122.79,149.48,138.61,111.79,270.09
SCPT_195188_Raw01,7.71,161.01,121.69,148.14,135.72,110.76,266.08
SCPT_195188_Raw01,7.73,157.97,122.72,149.4,135.88,111.33,264.99
SCPT_195188_Raw01,7.75,161.19,124.48,151.54,137.95,112.68,267.01
SCPT_195188_Raw01,7.77,176.52,128.08,155.93,144,115.81,274.78
SCPT_195188_Raw01,7.79,188.25,131.26,159.79,148.86,118.4,280.45
SCPT_195188_Raw01,7.81,207.83,134.53,163.78,155.23,121.31,288.83
SCPT_195188_Raw01,7.83,220.6,135.89,165.43,158.64,122.71,293.93
SCPT_195188_Raw01,7.85,236.5,137.19,167.01,162.26,124.22,300.25
SCPT_195188_Raw01,7.87,246.78,136.21,165.82,162.71,124.22,304.74
SCPT_195188_Raw01,7.89,256.01,140.83,171.45,168.4,127.28,307.76
SCPT_195188_Raw01,7.91,256.92,141.44,172.19,169.03,127.81,308.54
SCPT_195188_Raw01,7.93,265.3,142.5,173.48,171.14,128.85,311.79
SCPT_195188_Raw01,7.95,278.4,143.6,174.82,173.93,130.01,316.35
SCPT_195188_Raw01,7.97,292.63,145.94,177.67,178.02,131.9,321
SCPT_195188_Raw01,7.99,302.9,148.5,180.79,181.75,133.76,324.28
SCPT_195188_Raw01,8.01,316.81,150.14,182.78,185.05,135.19,328.56
SCPT_195188_Raw01,8.03,328.47,151.92,184.95,188.16,136.64,332.13
SCPT_195188_Raw01,8.05,331.62,151.96,185,188.52,136.9,333.51
SCPT_195188_Raw01,8.07,331.18,151.14,184,187.58,136.62,334.09
SCPT_195188_Raw01,8.09,326.18,150.21,182.87,185.95,136.14,333.4
SCPT_195188_Raw01,8.11,319.66,148.78,181.12,183.64,135.37,332.43
SCPT_195188_Raw01,8.13,310.04,147.3,179.32,180.87,134.48,330.53
SCPT_195188_Raw01,8.15,300.83,146.03,177.77,178.34,133.66,328.56
SCPT_195188_Raw01,8.17,294.98,145.45,177.07,176.92,133.33,327.45
SCPT_195188_Raw01,8.19,292.25,145.03,176.56,176.05,133.17,327.25
SCPT_195188_Raw01,8.21,287.45,144.69,176.15,174.99,132.97,326.34
SCPT_195188_Raw01,8.23,283.05,144.25,175.61,173.87,132.74,325.56
SCPT_195188_Raw01,8.25,278.59,144.02,175.33,172.95,132.64,324.78
