Depth,Qc,Fc,u
3.419997,0.1677,0.0006,0.1001
3.429997,0.168,0.0007,0.1004
3.439997,0.1682,0.0007,0.1007
3.449997,0.1683,0.0008,0.1017
3.459997,0.1685,0.0013,0.1017
3.469997,0.1706,0.0016,0.1051
3.479997,0.176,0.0021,0.1086
3.489997,0.1837,0.0021,0.1057
3.499997,0.1915,0.0021,0.0987
3.509997,0.2109,0.0021,0.0572
3.519997,0.2302,0.0021,0.0553
3.529997,0.2806,0.0021,0.0553
3.539997,0.2651,0.0021,0.0555
3.549997,0.2574,0.0021,0.0556
3.559997,0.2419,0.0021,0.0576
3.569997,0.2264,0.0021,0.0609
3.579997,0.2109,0.0021,0.0609
3.589997,0.2109,0.0019,0.0629
3.599997,0.2012,0.0019,0.0649
3.609997,0.1983,0.0019,0.0693
3.619997,0.1968,0.0019,0.0715
3.629997,0.1972,0.0017,0.0719
3.639997,0.1977,0.0016,0.0778
3.649997,0.1992,0.0015,0.0834
3.659997,0.1992,0.0015,0.0834
3.669997,0.1934,0.0013,0.0832
3.679997,0.1905,0.0013,0.0836
3.689997,0.1891,0.0012,0.0841
3.699997,0.1883,0.0012,0.0851
3.709997,0.188,0.0012,0.0887
3.719997,0.1878,0.0012,0.0889
3.729997,0.1877,0.0012,0.0888
3.739997,0.1881,0.0011,0.0928
3.749997,0.1886,0.0011,0.0967
3.759997,0.1895,0.0011,0.099
3.769997,0.1915,0.0011,0.0979
3.779997,0.1953,0.0011,0.0954
3.789997,0.1953,0.001,0.0954
3.799997,0.1915,0.001,0.0933
3.809997,0.1895,0.001,0.0917
3.819997,0.1886,0.001,0.091
3.829997,0.1876,0.0011,0.0907
3.839997,0.1876,0.0011,0.0916
3.849997,0.1875,0.0011,0.0925
3.859997,0.1876,0.0013,0.0912
3.869997,0.1876,0.0013,0.0861
3.879997,0.1876,0.0013,0.0861
3.889997,0.1876,0.0015,0.0777
3.899997,0.1877,0.0015,0.0777
3.909997,0.1877,0.0016,0.0774
3.919997,0.1878,0.0017,0.0778
3.929997,0.19,0.0017,0.0782
3.939997,0.1953,0.0017,0.0851
3.949997,0.2147,0.0017,0.0874
3.959997,0.2186,0.0017,0.088
3.969997,0.2186,0.0017,0.0788
3.979997,0.2186,0.0017,0.0788
3.989997,0.2147,0.0017,0.0739
3.999997,0.2109,0.0017,0.0718
4.009997,0.2109,0.0017,0.0737
4.019997,0.2031,0.0017,0.0757
4.029997,0.1953,0.0017,0.0796
4.039998,0.1934,0.0016,0.0807
4.049998,0.1934,0.0016,0.0864
4.059998,0.1934,0.0015,0.0916
4.069998,0.1937,0.0015,0.0916
4.079998,0.1953,0.0015,0.0927
4.089999,0.1953,0.0015,0.0927
4.099999,0.1973,0.0015,0.0954
4.109999,0.1992,0.0015,0.1021
4.119999,0.1973,0.0015,0.1065
4.13,0.1953,0.0016,0.1113
4.14,0.1953,0.0016,0.1093
4.15,0.1915,0.0016,0.1088
4.16,0.1895,0.0016,0.1088
4.170001,0.1886,0.0016,0.1069
4.180001,0.1881,0.0016,0.1066
4.190001,0.1878,0.0016,0.1067
4.200001,0.1877,0.0016,0.1067
4.210001,0.1876,0.0016,0.1078
4.220002,0.1876,0.0016,0.1071
4.230002,0.1828,0.0016,0.0866
4.240002,0.1813,0.0016,0.0836
4.250002,0.181,0.0016,0.083
4.260003,0.181,0.0016,0.0854
4.270003,0.1814,0.0016,0.0878
4.280003,0.1818,0.0016,0.0926
4.290003,0.1837,0.0016,0.1021
4.300004,0.1876,0.0016,0.0927
4.310004,0.1953,0.0016,0.0929
4.320004,0.1915,0.0016,0.0931
4.330004,0.1798,0.0016,0.0925
4.340004,0.1761,0.0016,0.0924
4.350005,0.1778,0.0016,0.0925
4.360005,0.1795,0.0016,0.0925
4.370005,0.1837,0.0016,0.0958
4.380005,0.1876,0.0016,0.0929
4.390006,0.1876,0.0016,0.0966
4.400006,0.1876,0.0015,0.1038
4.410006,0.182,0.0014,0.1095
4.420006,0.1808,0.0013,0.1107
4.430007,0.1803,0.0013,0.1107
4.440007,0.1878,0.0014,0.1103
4.450007,0.1953,0.0014,0.1104
4.460007,0.1953,0.0014,0.1104
4.470007,0.1963,0.0015,0.1117
4.480008,0.1973,0.0015,0.1143
4.490008,0.1992,0.0015,0.1174
4.500008,0.1992,0.0015,0.1218
4.510008,0.2109,0.0015,0.1221
4.520009,0.2225,0.0015,0.1182
4.530009,0.2186,0.0015,0.1163
4.540009,0.2186,0.0015,0.1161
4.550009,0.207,0.0015,0.116
4.560009,0.207,0.0015,0.116
4.57001,0.205,0.0015,0.1167
4.58001,0.2048,0.0015,0.1173
4.59001,0.2049,0.0016,0.1185
4.60001,0.205,0.0017,0.1204
4.610011,0.207,0.0017,0.12
4.620011,0.2031,0.0017,0.1147
4.630011,0.2012,0.0019,0.1114
4.640011,0.2011,0.0019,0.1069
4.650012,0.2011,0.0019,0.1069
4.660012,0.2012,0.0019,0.103
4.670012,0.2031,0.0019,0.1017
4.680012,0.2031,0.0019,0.1017
4.690012,0.206,0.002,0.0904
4.700013,0.2089,0.0021,0.0904
4.710013,0.2147,0.0022,0.0879
4.720013,0.2109,0.0022,0.0853
4.730013,0.2167,0.0022,0.0853
4.740014,0.2225,0.0022,0.0813
4.750014,0.2302,0.0021,0.0817
4.760014,0.2302,0.0021,0.0789
4.770014,0.2419,0.002,0.0779
4.780015,0.2341,0.002,0.0796
4.790015,0.238,0.002,0.0813
4.800015,0.238,0.002,0.0813
4.810015,0.2496,0.002,0.0903
4.820015,0.2496,0.002,0.0903
4.830016,0.2651,0.002,0.0933
4.840016,0.2612,0.002,0.0922
4.850016,0.2496,0.0019,0.093
4.860016,0.2302,0.0019,0.0938
4.870017,0.2264,0.0019,0.0956
4.880017,0.2264,0.0019,0.1032
4.890017,0.2225,0.0019,0.1097
4.900017,0.2205,0.0019,0.1168
4.910017,0.2198,0.0019,0.1168
4.920018,0.2205,0.0019,0.1223
4.930018,0.2211,0.0019,0.1223
4.940018,0.2225,0.0019,0.1218
4.950018,0.2302,0.0018,0.1162
4.960019,0.2264,0.0018,0.1156
4.970019,0.2258,0.0018,0.1151
4.980019,0.2258,0.0018,0.1151
4.990019,0.2259,0.0018,0.1152
