Depth,Qc,Fc,u
5.640034,0.8882,0.0327,-0.0048
5.650034,0.9111,0.0284,-0.0051
5.660035,0.9611,0.0242,-0.0051
5.670035,1.0533,0.0194,-0.0075
5.680035,1.2032,0.0124,-0.0085
5.690035,1.3532,0.0108,-0.0087
5.700036,1.3532,0.0091,-0.0088
5.710036,1.307,0.0088,-0.0087
5.720036,1.2417,0.0087,-0.0086
5.730036,1.1648,0.0088,-0.0075
5.740036,1.1656,0.0088,-0.0059
5.750037,1.1665,0.009,-0.0036
5.760037,1.1686,0.0092,-0.0022
5.770037,1.184,0.0093,-0.0007
5.780037,1.2378,0.0093,0.0005
5.790038,1.184,0.0093,0.0018
5.800038,1.2225,0.0092,0.002
5.810038,1.0303,0.0091,0.0039
5.820038,0.9293,0.0091,0.0072
5.830039,0.9172,0.0092,0.0101
5.840039,0.918,0.0097,0.0123
5.850039,0.9188,0.0099,0.0132
5.860039,1.1071,0.0098,0.0138
5.870039,1.284,0.0098,0.0136
5.88004,1.4185,0.0097,0.0148
5.89004,1.6069,0.0065,0.0161
5.90004,1.7568,0.0034,0.0169
5.91004,1.8145,0.0023,0.0169
5.920041,1.7376,0.002,0.0171
5.930041,1.6107,0.0015,0.0171
5.940041,1.4454,0.0014,0.0177
5.950041,1.111,0.0014,0.0183
5.960042,0.9226,0.0013,0.0187
5.970042,0.9036,0.0013,0.0212
5.980042,0.9043,0.0013,0.0252
5.990042,0.9051,0.001,0.0297
6.000042,0.9687,0,0.0345
6.010043,1.2763,-0.0001,0.0349
6.020043,1.6838,-0.0001,0.0336
6.030043,2.172,-0.0001,0.0245
6.040043,2.6179,-0.0001,-0.0017
6.050044,2.887,-0.0001,-0.0018
6.060044,3.0869,0.0001,-0.0015
6.070044,3.2368,0.0004,-0.0012
6.080044,3.4175,0.0011,-0.0005
6.090044,3.4291,0.0018,0.0018
6.100045,3.4468,0.0024,0.0026
6.110045,3.4646,0.0035,0.0036
6.120045,3.5674,0.0027,0.0047
6.130045,3.7943,0.0041,0.0059
6.140046,4.0134,0.0048,0.0061
6.150046,3.8558,0.0064,0.0055
6.160046,3.8558,0.0071,0.0059
6.170046,3.6866,0.0097,0.0051
6.180047,3.4675,0.0131,0.0043
6.190047,3.1177,0.0137,0.0039
6.200047,2.9831,0.0139,0.0036
6.210047,2.8986,0.0139,0.0034
6.220047,2.8486,0.0139,0.0041
6.230048,2.8504,0.0087,-0.0028
6.240048,2.8523,0.0041,-0.0113
6.250048,2.8563,0.0024,-0.0116
6.260048,2.9947,0.0015,-0.0116
6.270049,3.0293,0.0011,-0.0114
6.280049,3.0523,0.0011,-0.0111
6.290049,2.8563,0.0011,-0.0111
6.300049,2.6333,0.001,-0.0103
6.31005,2.4065,0.0009,-0.0094
6.32005,2.3599,0.0004,-0.0079
6.33005,2.3457,-0.0006,-0.0063
6.34005,2.3607,-0.001,-0.0046
6.35005,2.3757,-0.001,-0.003
6.360051,2.6371,-0.0011,0.0243
6.370051,2.8986,-0.0008,0.025
6.380051,3.0177,-0.0004,0.0254
6.390051,2.887,0.0004,0.0268
6.400052,2.7294,0.0004,0.0262
6.410052,2.5295,0.0011,0.0281
6.420052,2.2873,0.005,0.0289
6.430052,2.2617,0.0057,0.0309
6.440053,2.2505,0.0053,0.0318
6.450053,2.3131,0.005,0.0343
6.460053,2.3757,0.004,0.0372
6.470053,2.7294,0.0033,0.0374
6.480053,2.9178,0.0025,0.0384
6.490054,3.0062,0.0023,0.0212
6.500054,2.9178,0.0023,0.013
6.510054,2.6717,0.0025,0.0114
6.520054,2.4565,0.0028,0.0106
6.530055,2.172,0.0033,0.0109
6.540055,1.9452,0.0037,0.0113
6.550055,1.7414,0.0045,0.0121
6.560055,1.58,0.0048,0.0136
6.570055,1.3993,0.0054,0.0156
6.580056,1.2763,0.0061,0.0167
6.590056,1.2071,0.0081,0.0173
6.600056,1.1763,0.0089,0.0212
6.610056,1.0879,0.0088,0.0227
6.620057,1.0812,0.0087,0.0264
6.630057,1.0866,0.0066,0.0293
6.640057,1.092,0.0065,0.0328
6.650057,1.1033,0.0062,0.0355
6.660058,1.4647,0.0054,0.0386
6.670058,1.6915,0.0059,0.0369
6.680058,1.8029,0.0051,0.0332
6.690058,1.8952,0.0048,0.0331
6.700058,1.8375,0.0048,0.0331
6.710059,1.7914,0.0042,0.0331
6.720059,1.7799,0.0028,0.0336
6.730059,1.6991,0.0032,0.0359
6.740059,1.6843,0.0027,0.0357
6.75006,1.6872,0.0022,0.0369
6.76006,1.6901,0.0014,0.0378
6.77006,1.6991,0.0012,0.0386
6.78006,1.7491,0.0011,0.0394
6.790061,1.7953,0.001,0.0403
6.800061,1.7799,0.0009,0.0429
6.810061,1.7991,0.0003,0.0434
6.820061,1.7991,0.0002,0.0444
6.830061,1.9606,0.0002,0.046
6.840062,1.9606,0.0002,0.0465
6.850062,2.0413,0.0001,0.0483
6.860062,2.1758,-0.0001,0.0483
6.870062,2.5141,-0.0001,0.0494
6.880063,2.7409,0,0.0498
6.890063,2.9485,0,0.0508
6.900063,3.0908,0.0001,0.0514
6.910063,3.1638,0.0002,0.0549
6.920063,3.1792,0.0005,0.0547
