Depth,Qc,Fc,u
3.61,3.029,0.0138,-0.0261
3.62,2.906,0.0116,-0.0278
3.63,2.687,0.0105,-0.035
3.64,2.441,0.0094,-0.0387
3.65,2.184,0.0094,-0.0429
3.66,1.688,0.0093,-0.0435
3.67,1.453,0.0084,-0.0435
3.68,1.261,0.0071,-0.0435
3.69,1.084,0.0047,-0.0435
3.7,0.85,0.0041,-0.0433
3.71,0.754,0.0033,-0.0427
3.72,0.684,0.0032,-0.0425
3.73,0.615,0.0031,-0.0422
3.74,0.546,0.0031,-0.0418
3.75,0.481,0.0032,-0.0414
3.76,0.441,0.0039,-0.0412
3.77,0.439,0.0052,-0.0406
3.78,0.443,0.0068,-0.0392
3.79,0.446,0.0087,-0.0385
3.8,0.607,0.0088,-0.0377
3.81,1.115,0.0094,-0.0367
3.82,1.442,0.0109,-0.0356
3.83,1.645,0.0116,-0.0356
3.84,1.699,0.0118,-0.0358
3.85,1.665,0.011,-0.0362
3.86,1.522,0.0102,-0.0364
3.87,1.48,0.0071,-0.0364
3.88,1.484,0.0068,-0.0364
3.89,1.476,0.0069,-0.0363
3.9,1.445,0.0069,-0.0363
3.91,1.269,0.0072,-0.0363
3.92,1.146,0.0085,-0.0363
3.93,1.03,0.0113,-0.0363
3.94,1.004,0.0132,-0.036
3.95,1.001,0.0141,-0.0358
3.96,1.033,0.0149,-0.0352
3.97,1.065,0.015,-0.0342
3.98,1.284,0.0151,-0.0338
3.99,1.734,0.0167,-0.0334
4,1.838,0.0175,-0.0332
4.01,1.82,0.0173,0.0138
4.02,1.837,0.017,-0.0282
4.03,1.853,0.0149,-0.0299
4.04,2.011,0.0132,-0.0305
4.05,2.541,0.0129,-0.0311
4.06,2.556,0.013,-0.0307
4.07,2.31,0.0131,-0.0361
4.08,1.999,0.0134,-0.0388
4.09,1.688,0.0151,-0.04
4.1,1.538,0.0159,-0.0406
4.11,1.396,0.016,-0.0406
4.12,1.304,0.0148,-0.0406
4.13,1.288,0.0136,-0.0406
4.14,1.284,0.0116,-0.0404
4.15,1.332,0.01,-0.0402
4.16,1.38,0.0089,-0.04
4.17,1.346,0.0076,-0.0398
4.18,1.238,0.0059,-0.0402
4.19,0.873,0.0054,-0.0427
4.2,0.754,0.0054,-0.0462
4.21,0.627,0.0054,-0.0479
4.22,0.511,0.0054,-0.0482
4.23,0.447,0.0056,-0.0481
4.24,0.445,0.0057,-0.0481
4.25,0.445,0.0057,-0.048
4.26,0.446,0.0057,-0.0476
4.27,0.577,0.0056,-0.047
4.28,0.638,0.0054,-0.0462
4.29,0.684,0.0048,-0.0462
4.3,0.696,0.0043,-0.0461
4.31,0.68,0.0038,-0.046
4.32,0.657,0.0037,-0.0458
4.33,0.538,0.0037,-0.0456
4.34,0.473,0.0036,-0.0456
4.35,0.473,0.0036,-0.0454
4.36,0.415,0.0036,-0.0454
4.37,0.369,0.0036,-0.0452
4.38,0.319,0.0036,-0.0451
4.39,0.288,0.0036,-0.0449
4.4,0.258,0.0048,-0.0422
4.41,0.235,0.0074,-0.0422
4.42,0.215,0.0085,-0.0418
