File Name,depth_input,vs_input,Depth,Qc,Fs,u,A07-H,A07-P,R09,Mc15,Mc18
SCPT_114322.csv,18.5,171,18.5,4.817,0.0949,-0.0455,-0.226597675,-0.423307969,-0.105792237,-0.180818291,-0.891688159
SCPT_114322.csv,19,162,19,1.0898,0.0249,0.1325,0.11883836,-0.077871935,0.446680042,0.082757683,-0.767570617
SCPT_114322.csv,19.5,162,19.5,1.0272,0.0245,0.157,0.131606402,-0.065103892,0.487108786,0.085399342,-0.77159934
SCPT_114322.csv,20,162,20,1.0429,0.0243,0.4253,0.147262425,-0.04944787,0.536167348,0.076857039,-0.777051414
SCPT_126232.csv,0.5,184.3,0.5,7.2237,0.0075,-0.0005,0.468361703,0.271651409,0.150817384,1.050214516,0.423706472
SCPT_126232.csv,1,184.3,1,6.3762,0.0101,-0.0001,0.38315661,0.186446316,0.10719609,0.850786587,0.210571506
SCPT_126232.csv,1.5,184.3,1.5,2.851,0.0062,0.0006,0.471529774,0.27481948,0.147923716,0.894476096,0.177383309
SCPT_126232.csv,2,184.3,2,2.4911,0.0056,0.0003,0.463210774,0.26650048,0.170774364,0.842380585,0.118830091
SCPT_126232.csv,2.5,184.3,2.5,0.5756,0.0007,-0.0006,0.797765768,0.601055473,0.406655576,1.163909929,0.343543666
SCPT_126232.csv,3,184.3,3,0.1499,0.0099,-0.0021,0.985245812,0.788535517,0.41333666,1.087084149,-0.037024659
SCPT_126232.csv,4,184.3,4,0.2217,0.0111,-0.0023,0.845546263,0.648835968,0.373439804,0.941257107,-0.127577608
SCPT_126232.csv,4.5,184.3,4.5,0.3299,0.0019,0.0027,0.825565168,0.628854874,0.511895031,0.997781112,0.069143905
SCPT_126232.csv,5,184.3,5,0.1729,0.0014,0.0091,0.983697589,0.786987295,0.82204498,1.086872536,0.086968273
SCPT_126232.csv,5.5,184.3,5.5,0.3625,0.0024,0.0118,0.770968285,0.574257991,0.533294562,0.909034801,-0.012693049
SCPT_126232.csv,6,184.3,6,3.5436,0.0127,0.016,0.222784343,0.026074049,0.120691548,0.418254727,-0.268175318
