NZTM_X NZTM_Y Vs30
1728418 6027977 161.34
1873809.81 5818843.28 161.34
1718007.87 6051391.73 161.36
1881222.86 5826283.8 161.45
2036964.63 5710256.39 161.58
1761992.17 5907462.83 161.66
1728061.7 5941591.45 161.67
1745064.35 5918314.39 161.7
1867556.21 5828066.31 161.71
1789791 5839395 161.72
1882836.37 5776663.11 161.78
1754631.94 5912736.39 161.93
1772322.57 5898086.45 162.06
1876374.01 5815375.34 162.08
1934207.9 5620192.42 162.09
1744908.97 5917075.76 162.19
1746398.4 5968940.2 162.21
1756670.74 5921516.45 162.21
1762364 5906676 162.23
1890904.33 5814561.29 162.29
1873351 5821744 162.31
1766189 5916732 162.4
1762442 5906438 162.45
1756616.88 5921563.64 162.52
1889664.28 5819600.36 162.53
1879409.49 5820018.76 162.66
1745105.86 5918311.9 162.7
1932398.9 5620008.96 162.71
1756604.56 5921507.88 162.72
1890250.34 5820956.22 162.81
1891520.37 5820094.66 162.87
1895657.87 5817010.26 162.91
1765306 5907428 162.98
1888409.42 5775447.6 162.99
1728083.47 5941529.32 163.06
1887345.38 5773708.7 163.07
1744898.08 5917054.3 163.14
1875164 5822153 163.15
1875296 5822310 163.26
1876052.12 5823571.82 163.31
1764964.2 5905848.05 163.33
1866695 5827626 163.35
1766221 5908080 163.44
1759483.05 5908305.26 163.45
1762343.5 5906277.8 163.47
1744045.18 5926972.16 163.51
1879457.71 5819931.68 163.52
1891165.97 5814664.9 163.52
1745093.59 5918308.45 163.64
1830114.34 5867102.46 163.67
1235983 5023652 163.68
1875220 5822248 163.76
1882228.78 5775097.5 163.77
1758749.26 5905896.6 163.77
1866614 5827869 163.8
1884254 5785264 164.03
1701233.78 5678293.28 164.05
1766449.64 5913208.37 164.08
1835764 5863071 164.1
1796377.36 5825926.88 164.16
1879110.22 5824960.02 164.18
1763218 5908776 164.2
1880206.76 5773918.25 164.21
1873815.63 5818936.04 164.27
1931838.12 5620896.96 164.32
1885712.54 5823454.16 164.4
1887802.53 5822044.57 164.45
1864681.95 5828050.49 164.51
1771619.25 5894714.41 164.53
1765852 5908675 164.57
1759509.76 5908054.79 164.63
1889678.96 5820762.78 164.65
1762437 5906503 164.66
1701210.8 5678276.14 164.71
1756573.1 5921602.3 164.73
1891314.83 5814796.9 164.73
1728114.5 5941607.42 164.78
1881789.28 5779904.87 164.81
1830073.61 5867106.35 164.82
1751565.35 5949691.98 164.82
1762405 5906398 164.87
1720847 6045071 164.88
1890759.36 5820232.3 164.93
1878312.52 5822531.27 164.94
1746427.3 5968898.1 164.95
1765807 5908721 164.96
1879483.17 5824769.66 164.97
1759700.34 5908294.82 164.99
1875258.21 5821479.93 165.04
1835728 5863075 165.21
1759772.87 5908168.42 165.28
1875351 5822308 165.41
1758398 5907267 165.42
1873851.47 5818876.89 165.45
1825559.05 5886725.9 165.52
1763668.01 5907714.84 165.54
1875950.85 5825189.48 165.57
1895709.12 5816879.89 165.6
1793135.74 5835133.41 165.61
1879813.52 5823467.37 165.65
1762446.4 5906442.6 165.75
1762472 5906475 165.79
1845205.07 5811525.09 165.82
1744016.48 5927027.24 165.85
1890959.4 5820223.69 165.95
1932374.93 5619985.89 165.99
1756729.08 5921602.23 166
1772183.3 5897942.28 166.03
1884415.49 5825619.37 166.09
1879372.93 5824738.36 166.13
1759400.66 5908385.55 166.27
1874806.47 5820026.48 166.27
1764431.21 5913039.58 166.27
1762378 5906451 166.27
1891613.09 5821174.13 166.28
1759631.51 5908395.23 166.31
1879110 5823137 166.32
1897807.55 5813755.09 166.32
1867813.88 5828357.92 166.33
1772822.69 5891863.09 166.37
1258158.23 5004772.07 166.4
1835738 5863051 166.43
1728115.02 5941540.61 166.46
1935293.2 5618716.77 166.46
1879466.57 5824580.19 166.49
1744931.26 5917070.72 166.5
1771476.74 5895343.64 166.52
1801534.26 5807695.11 166.56
2040019.55 5707336.81 166.64
1701213.65 5678282.55 166.7
1798600 5813547 166.73
2059686.61 5753108.23 166.73
1701224.3 5678289.73 166.79
1909256.71 5808738.71 166.82
1881780.98 5779897.54 166.88
1874440.86 5821202.54 166.97
1835808 5863052 166.99
1759884.68 5908047.28 167
1772996.88 5891477.31 167.02
1804230.6 5815225.93 167.05
1880178.41 5773800.99 167.08
2040003.42 5707299.19 167.16
1835788 5863069 167.21
1866692 5827865 167.28
1762410.2 5906450.6 167.29
1700045.01 5678531.03 167.34
1623637.19 6113895.77 167.35
1764902.99 5905672.92 167.35
1762353 5906436 167.36
1874158 5821360 167.37
1874221.62 5816571.29 167.39
1405495 4914523 167.42
2036953 5710315 167.43
1885401.74 5823626.58 167.44
1872262.66 5816365.04 167.47
1967449.71 5782858.37 167.5
1878003 5825379.29 167.5
2036983.28 5710333.38 167.54
1759450.95 5908353.22 167.56
1895723.06 5816821.19 167.58
1890256.46 5820957.94 167.61
1756633.87 5921578.66 167.62
1783477.37 5869238.71 167.67
1875917.78 5825143.37 167.72
1875135.83 5823565.03 167.74
1877470.26 5821957.54 167.79
1745224.26 5919162.12 167.85
1762344 5906466 167.89
1407884.1 4917952.15 167.95
1766047 5908536 167.98
1874212.78 5819035.32 168.01
1744072.56 5927012.76 168.08
1879189.54 5824966.09 168.14
1746125 5969848 168.18
1745400 5925553 168.25
1872849 5822119 168.29
1759509.03 5908333.53 168.34
1873290.16 5821789.55 168.39
1887452.62 5773642.79 168.47
1787937 5851321 168.48
1886831 5822991 168.49
1758256.92 5927384.02 168.51
1798579 5813556 168.55
1873822.92 5818861.84 168.57
1909244.61 5808736.07 168.65
1932398.11 5619923.72 168.82
1882143.85 5782351.93 168.87
1874333.39 5822579.55 168.88
2036972.57 5710333.38 168.93
1934479.73 5615658.87 168.93
1889818.66 5820514.48 168.95
1764360.04 5913004.67 168.96
1895568.91 5817217.24 169
1895408.9 5817654.96 169.08
1887260.17 5773863.43 169.15
1877529 5821842 169.25
1728034 5941556.8 169.26
1885952.26 5823540.54 169.29
1881247.87 5826396.68 169.3
1766881.18 5913150.01 169.4
1798077.78 5814134.69 169.54
2035007 5709102 169.54
1895768.8 5816731.38 169.56
1405477 4914540 169.58
1758329 5907255 169.59
1874373 5821308 169.66
1747680.94 5921927.4 169.68
1763657.47 5907740.91 169.74
1835796 5863051 169.75
1932414.59 5619939.69 169.78
1750776.29 5913484.13 169.79
1877608.81 5822022.94 169.82
2036621 5708547 169.86
1758254.64 5927372.18 169.87
1872403.34 5816492.06 169.9
1859557.46 5856202.26 169.91
1859571.94 5856203.5 169.91
1762394.8 5906444.2 169.92
1743992.99 5926983.69 169.94
1891276.97 5814821.81 169.95
1821635 5828978 169.98
1804149.42 5815255.64 170.09
1763239 5908733 170.1
1804250.15 5815240.3 170.13
1765284 5907413 170.14
1887724.68 5822105.43 170.14
1772193.41 5895160 170.15
1857305.26 5840629.9 170.16
1881402 5779813 170.22
1881415 5779810 170.27
1753903.62 5931752.06 170.35
2036922.56 5710306.39 170.36
1762541.11 5907348.79 170.37
2039994.02 5707258.14 170.39
1876684.33 5822451.29 170.45
1747374.66 5926556.83 170.46
1825042.05 5887703.47 170.54
1884419.3 5824563.03 170.62
1745338.23 5920187.09 170.63
1879912.12 5820784.82 170.65
1802426.89 5811240.65 170.66
1797462.9 5822864.3 170.68
1407884.1 4917952.15 170.68
1891132.45 5814681.68 170.69
1880193.67 5773968.71 170.7
1876459.23 5821050.1 170.73
1764684.81 5912643.02 170.77
1863200.99 5850471.86 170.81
1891083.91 5814730.41 170.81
1765230.4 5905826.61 170.82
1932077.71 5620121.02 170.82
1931557.34 5619641 170.85
1787739 5819259 170.91
1892610.1 5819607.39 170.92
1797123.06 5817598.84 170.94
1882576.79 5775764.85 170.95
