Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T
LGLS,-39.1007449,176.7554972,519,B,625,0.3655,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),3675,0.5,Q3,NZVM (2021),0,0,0
LICJ,-44.16354273,168.7763728,92,C,271,0.2705,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0
LJAI,-38.60443502,176.7551989,358,B,617,0.337,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),75,0.5,Q3,1,NZVM (2021),1075,0.5,Q3,NZVM (2021),0,0,0
LKMJ,-44.04033928,168.7168727,20,B,557,0.385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
LKOW,-39.33954921,176.4996932,424,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
LLRC,-38.03602213,175.85849,160,B,597,0.4005,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),35,0.5,Q3,1,NZVM (2021),1175,0.5,Q3,NZVM (2021),0,0,0
LMAN,-39.55945283,176.0813872,709,B,555,0.359,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),975,0.5,Q3,NZVM (2021),0,0,0
LMAT,-39.67905578,176.2871893,521,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1225,0.5,Q3,NZVM (2021),0,0,0
LMAU,-38.9127415,176.9365001,191,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1875,0.5,Q3,NZVM (2021),0,0,0
LMOT,-39.58525285,175.8489842,525,B,604,0.3615,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0
LMOW,-39.40694894,175.7534837,806,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
LOCC,-38.86823941,176.3739933,720,C,562,0.453,Q3,Foster et al. (2019) & Perrin et al. (2015),0.45,0.1,Q1,I,Manea et al. 2021 unpublished,65,0.5,Q3,1,NZVM (2021),725,0.5,Q3,NZVM (2021),0,0,0
LOKS,-42.01157,173.48244,1607,C,412,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.4,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),2025,0.5,Q3,NZVM (2021),0,0.8,0
LOPO,-39.14294585,176.8006976,526,B,567,0.355,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),65,0.5,Q3,1,NZVM (2021),4675,0.5,Q3,NZVM (2021),0,0,0
LOTA,-38.72773707,176.5829964,757,B,679,0.317,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),1275,0.5,Q3,NZVM (2021),0,0,0
LPAP,-39.19774717,176.9013987,193,B,560,0.344,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),95,0.5,Q3,1,NZVM (2021),5175,0.5,Q3,NZVM (2021),0,0,0
LPEN,-39.55545174,175.6284816,690,B,622,0.3385,Q3,Foster et al. (2019) & Perrin et al. (2015),0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0
LPIH,-38.97404309,177.104902,285,B,800,0.2,Q3,NSHM 2021,0.05,0.3,Q3,I,NSHM (2021),55,0.5,Q3,1,NZVM (2021),4225,0.5,Q3,NZVM (2021),0,0,0
