CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing,NZTM_X,NZTM_Y, Vs30
CPT_29320_measurement_num_0,-43.5003679850289,172.632099982716,2480257.88032193,5745165.16181511,1570257.54,5183552.02,145.96
CPT_110842_measurement_num_0,-43.5367707011897,172.663499501059,2482813.57030316,5741131.43932101,1572812.35,5179519.93,146.01
CPT_40353_measurement_num_0,-43.3161609338398,172.663111840104,2482683.31430215,5765640.8090726,1572682,5204020,146.03
CPT_94413_measurement_num_0,-43.5452171833316,172.641624325981,2481049.47352829,5740185.68888725,1571048.98,5178574.49,146.03
CPT_103423_measurement_num_0,-43.5419481752593,172.65466560662,2482101.92033469,5740553.30610233,1572101,5178942,146.09
CPT_23696_measurement_num_0,-43.5467472875778,172.638483747121,2480796.39807022,5740014.60139707,1570796.01,5178403.46,146.1
CPT_33600_measurement_num_0,-43.5686087663889,172.690524463685,2485010.97582592,5737602.53669801,1575009,5175992.5,146.11
CPT_31854_measurement_num_0,-43.501965494528,172.644906301915,2481294.34680853,5744992.14987389,1571293.61,5183379.1,146.15
CPT_35828_measurement_num_0,-43.5463519911587,172.686128960321,2484646.63508702,5740074.02460492,1574644.72,5178462.99,146.21
CPT_87014_measurement_num_1,-43.5271616112607,172.649374526805,2481667.42296869,5742194.34901184,1571666.62,5180582.39,146.22
CPT_27057_measurement_num_0,-43.5454384823058,172.671533361342,2483466.69773521,5740171.00095715,1573465.25,5178559.89,146.23
CPT_56291_measurement_num_0,-43.5206691161946,172.674886403505,2483727.00448128,5742923.99531777,1573725.37,5181311.81,146.23
CPT_1086_measurement_num_0,-43.5206659700291,172.674888276448,2483727.15455016,5742924.34545101,1573725.52,5181312.16,146.23
CPT_34513_measurement_num_0,-43.5133029620844,172.651224979935,2481810.60418499,5743734.69178951,1571809.7,5182122.14,146.24
CPT_4939_measurement_num_0,-43.5158134522154,172.648933331514,2481626.47446363,5743454.99858726,1571625.65,5181842.55,146.28
CPT_19232_measurement_num_0,-43.57181099308,172.694702943284,2485349.82955762,5737247.99197557,1575347.73,5175638.11,146.28
CPT_28487_measurement_num_0,-43.5463526239788,172.684657351525,2484527.70750713,5740073.50817322,1574525.84,5178462.47,146.31
CPT_56536_measurement_num_0,-43.5392430161244,172.645248061092,2481339.52062855,5740850.6774844,1571338.89,5179239.23,146.31
CPT_10290_measurement_num_0,-43.5448923341157,172.654055988597,2482054.00018666,5740225.99976505,1572053.11,5178614.82,146.32
