NZTM_X NZTM_Y Vs30
1573140.73 5203656.12 162.93
1748579.5 5970631.76 162.95
1755421.85 5912160.36 162.96
1881029.19 5819619.5 162.96
1765306 5907428 162.98
1888409.42 5775447.6 162.99
1568930.36 5189026.61 163
1768055.38 5906959.74 163.05
1799332 5823378 163.05
1728083.47 5941529.32 163.06
1889576.03 5820473.1 163.06
1799971.69 5822762.82 163.07
1887345.38 5773708.7 163.07
1806218 5816654 163.08
1866427 5827415 163.09
1799570.1 5814651.45 163.1
1569941.53 5179363.34 163.12
1757660.82 5921035.02 163.12
1859662 5849124 163.12
1564279 5173680 163.14
1744898.08 5917054.3 163.14
1728917 6027551 163.15
1875164 5822153 163.15
1932781.32 5620919.53 163.18
1718088.98 6039026.73 163.19
1874365.36 5816575.21 163.2
1874763.79 5821552.6 163.21
1889978 5776179 163.21
1568965.47 5178887.33 163.22
1769618.48 5914781.44 163.22
1967366.1 5782325.77 163.24
1778488.94 5582295.52 163.26
1875296 5822310 163.26
1798193.99 5816649.39 163.27
1567367.98 5177835.85 163.28
1933646.14 5608723.06 163.28
1571470.38 5176487.5 163.29
1858035 5838715 163.31
1876052.12 5823571.82 163.31
1764964.2 5905848.05 163.33
1866695 5827626 163.35
1572154 5204037 163.37
1766221 5908080 163.44
1759483.05 5908305.26 163.45
1875424.79 5824130.14 163.46
1762343.5 5906277.8 163.47
1753933.81 5968016.91 163.48
1757152.44 5920298.95 163.49
1744045.18 5926972.16 163.51
1776023.58 5580888.52 163.52
1879457.71 5819931.68 163.52
1891165.97 5814664.9 163.52
1857601.22 5839348.33 163.53
1376634.65 4908143.56 163.54
1572333 5204411 163.54
1800326 5815254 163.56
1879254 5824486 163.57
1857863 5838745 163.63
1745093.59 5918308.45 163.64
1893326.69 5813686.12 163.65
1862130.88 5851540.75 163.66
1830114.34 5867102.46 163.67
1235983 5023652 163.68
1755319.62 5912771.57 163.68
1800315.27 5813035.07 163.69
1882824 5776026 163.72
1860032.62 5856553.72 163.73
1822935.99 5828948.57 163.74
1571333.15 5176372.66 163.75
1885086 5774730 163.75
1875220 5822248 163.76
1758749.26 5905896.6 163.77
1882228.78 5775097.5 163.77
1728099.48 5941528.79 163.79
1728099.48 5941528.79 163.79
1866614 5827869 163.8
1571473 5176642 163.82
1765450.88 5905660.89 163.82
1788540 5755104 163.83
1736730.4 5929814.21 163.85
1567731.01 5177592.51 163.86
1760127.93 5436805.82 163.86
1570849.11 5175445.05 163.89
1759219.14 5906745.91 163.89
1623660 6113889 163.9
1771204.38 5909859.75 163.93
1570390.9 5189244 163.94
1883441 5776460 163.95
1572254 5204593 163.96
1788576 5755142 164
1884254 5785264 164.03
1572320.83 5204733.93 164.05
1701233.78 5678293.28 164.05
1572241 5204666 164.06
1766449.64 5913208.37 164.08
1800300 5815247 164.09
1935777.3 5618665.48 164.09
1835764 5863071 164.1
1406425.97 4916413.18 164.12
1755523.1 5913161.11 164.15
1796377.36 5825926.88 164.16
1887960.56 5773459.76 164.16
