NZTM_X,NZTM_Y,Vs30,xcoord,ycoord
1977044.76,5784583.36,226.72,177.29398,-38.00804298
1977044.61,5784380.5,195.28,177.2940848,-38.00986625
1977044.58,5784438.82,184.69,177.2940539,-38.00934211
1977042.39,5784408.01,196.88,177.2940452,-38.00961993
1976979.96,5784645.99,240.2,177.293211,-38.00750702
1976950.98,5784725.66,237.39,177.29284,-38.00680302
1976942.93,5784776.33,237.71,177.292722,-38.00635097
1976881.01,5783881.75,217.59,177.2924883,-38.01441676
1976881.01,5783881.75,271.72,177.2924883,-38.01441676
1976878.43,5783856.29,206.87,177.2924724,-38.01464665
1976878.43,5783856.29,277.39,177.2924724,-38.01464665
1976875.05,5783868.39,217.71,177.2924276,-38.01453931
1976875.05,5783868.39,260.85,177.2924276,-38.01453931
1976868.79,5784443.35,212.48,177.2920546,-38.00937444
1976868.79,5784443.35,325.7,177.2920546,-38.00937444
1976867.32,5784421.57,195.48,177.2920494,-38.00957079
1976855.7,5784217.6,182.94,177.2920245,-38.01140881
1976855.7,5784217.6,266.76,177.2920245,-38.01140881
1976855.28,5784189.2,209.96,177.2920346,-38.01166423
1976855.28,5784189.2,356.99,177.2920346,-38.01166423
1976853.8,5784445.32,221.3,177.2918833,-38.00936296
1976853.8,5784445.32,395.2,177.2918833,-38.00936296
1976842.91,5784227.91,187.87,177.2918737,-38.01132146
1976842.91,5784227.91,298.2,177.2918737,-38.01132146
1976842.54,5784206.17,204.47,177.291881,-38.011517
1976842.54,5784206.17,287.1,177.291881,-38.011517
1976841.67,5784420.45,196.99,177.2917586,-38.00959151
1976841.67,5784420.45,295.21,177.2917586,-38.00959151
1976837.84,5784446.93,216.97,177.2917012,-38.00935512
1976837.84,5784446.93,302.01,177.2917012,-38.00935512
1976677.82,5785132.63,210.69,177.2895237,-38.00325878
1976662.08,5784967.53,210.64,177.2894315,-38.00474917
1976660.4,5785119.53,204.2,177.2893327,-38.00338375
1976653.65,5785835.04,213.69,177.2888808,-37.99695584
1976648.89,5785814.01,217.91,177.2888378,-37.99714682
1976646.88,5784968.55,224.38,177.2892584,-38.00474631
1976598,5783227,178.42,177.2896169,-38.0204189
1976595,5783215,175.35,177.2895891,-38.020528
1976590,5783201,176.69,177.2895397,-38.0206559
1976586.2,5784729.22,203.99,177.2886946,-38.00692249
1976578.5,5784219.15,203.72,177.2888747,-38.01150998
1976572.36,5784696.48,203.87,177.2885546,-38.00722249
1976570.84,5784209.53,207.89,177.2887928,-38.01159962
1976570.32,5784247.93,202.86,177.2887667,-38.01125472
1976569,5783948,237.87,177.2889091,-38.01395091
1976560.06,5784715.96,193.39,177.2884047,-38.00705251
1976547.11,5784246.65,207.87,177.2885037,-38.01127585
1976539.85,5784716.89,211.97,177.2881746,-38.00705254
1976522.28,5784717.7,224.61,177.2879746,-38.00705255
1976508.63,5784746.15,197.26,177.2878046,-38.00680252
1976481.01,5784503.23,201.81,177.2876183,-38.00899725
1976461.06,5784504.04,210.52,177.2873913,-38.00899825
1976446,5783989,237.53,177.2874903,-38.01363347
1976442,5784061,228.49,177.2874071,-38.01298802
1976333.01,5785445.2,190.44,177.2854434,-38.00059257
1976332.46,5785456.01,196.56,177.2854315,-38.00049565
1976332.46,5785422.39,196.59,177.2854491,-38.00079781
1976331.85,5785073.35,174.79,177.2856251,-38.00393511
1976304.26,5783980.13,223.48,177.2858848,-38.01377199
1976293.83,5786044.6,183.75,177.2846844,-37.99522162
1976283.87,5786059.53,191.49,177.2845635,-37.99509157
1976239.43,5783948.63,216.75,177.2851648,-38.01408199
1976194.71,5784677.73,171.42,177.2842747,-38.00754766
1976193.93,5784665.26,188.49,177.2842724,-38.00766006
1976186,5784878,175.58,177.2840708,-38.00575131
1976185,5784888,175.47,177.2840542,-38.00566185
1976173.55,5784679.22,181.58,177.2840335,-38.00754304
1976172.36,5784663.02,192.57,177.2840285,-38.00768913
1976153.47,5784683.99,181.95,177.283803,-38.00750849
1976152.13,5784665.18,183.13,177.2837976,-38.00767811
1976117.3,5785438.19,199.78,177.282997,-38.000745
1976114.59,5785408.05,191.19,177.282982,-38.00101701
1976113.77,5785392.18,190.98,177.282981,-38.00115998
1976108.08,5785377.64,212.9,177.282924,-38.00129302
1976107.52,5785363.54,201.78,177.2829251,-38.00141998
1976103.39,5785407.79,185,177.282855,-38.00102399
1976098,5782731,202.12,177.2841964,-38.02508424
1976037,5785355,176.26,177.2821285,-38.00152596
1976034,5785336,182.13,177.2821044,-38.00169796
1976022,5785342,191.45,177.281965,-38.00164901
1975904.45,5784318.51,210.1,177.2811657,-38.01089651
1975903.77,5784369.45,205.93,177.2811313,-38.01043896
1975902.95,5784336.43,209.71,177.2811393,-38.01073607
1975896.37,5784289.68,215.18,177.281089,-38.01115897
1975879.12,5784310.06,205.05,177.2808824,-38.01098295
1975877.94,5784375.01,210.28,177.2808349,-38.01039969
1975874.87,5784336.39,200.99,177.2808203,-38.01074806
1975865.03,5784323.83,214.84,177.2807151,-38.01086502
1975751.08,5784597.76,217.93,177.2792773,-38.00845023
1975749.18,5784542.59,228.55,177.2792846,-38.00894687
1975730.69,5784539.97,222.14,177.2790759,-38.00897807
1975703.49,5784522.76,211.9,177.2787759,-38.00914401
1975702.91,5784591.12,200.9,177.2787336,-38.00852985
1975691.98,5784577.17,205.15,177.2786167,-38.00865976
1975681.18,5784608.84,200.1,177.2784775,-38.00837959
1975668.26,5784559.01,205.99,177.2783568,-38.0088328
1975667.9,5784521.96,199.24,177.2783721,-38.00916594
1975653.23,5784582.25,180.81,177.2781739,-38.00863014
1975650,5784732,207.87,177.2780588,-38.00728557
1975649.02,5784564.9,190.75,177.2781351,-38.00878782
1975558,5783700,172.27,177.2775538,-38.01659898
1975557.76,5783924.37,178.01,177.2774336,-38.0145825
1975557.2,5783942.76,190.06,177.2774176,-38.01441745
1975543.44,5783867.51,203.18,177.2773007,-38.01509947
1975539,5783697,173.01,177.2773395,-38.01663381
1975535.29,5783937.2,199.78,177.2771716,-38.01447649
1975535.19,5783889.14,208.44,177.2771956,-38.01490848
1975527.76,5783865.34,201.5,177.2771237,-38.01512547
1975446.01,5784056.63,213.91,177.2760949,-38.01344005
1975445.68,5784028.9,189.08,177.2761057,-38.01368941
1975402.23,5783845.02,203.07,177.2757082,-38.01536006
1975368.99,5786388.46,233.49,177.274001,-37.99251399
1975322.92,5786386.24,247.16,177.273479,-37.99255299
1975278.71,5786387.83,244.13,177.272976,-37.99255698
1975269,5784238,171.38,177.2739892,-38.01188318
1975250,5784237,191.99,177.2737739,-38.01190003
1974821.26,5783564.42,190.23,177.2692547,-38.01812228
1974741.48,5784222.33,197.45,177.2680048,-38.01224207
1974695.96,5784227.76,192.42,177.2674848,-38.01221207
1974690.89,5783504.77,152.84,177.2678047,-38.01871227
1974654.78,5784212.96,178.44,177.2670247,-38.0123621
1974538.07,5783492.88,193.9,177.2660747,-38.01888226
1973911.53,5783168.21,181.96,177.2591257,-38.02205888
1973800.73,5783212.78,183.18,177.2578436,-38.02170396
1973784.75,5783296.74,191.27,177.2576182,-38.02095592
1973697.24,5783396.2,176.33,177.2565722,-38.02009804
1973672.55,5783290.13,179.24,177.2563469,-38.02106157
1972523.01,5786395.6,185.01,177.2416747,-37.99362213
1972504.55,5786415.36,207.73,177.2414548,-37.99345209
1968129.97,5784456.98,201.9,177.192772,-38.01284001
1968066.85,5783082.18,215.41,177.1927601,-38.02522328
1967995.73,5784250.78,190.2,177.1913526,-38.01474795
1967979.06,5783059.78,141.24,177.1917741,-38.02546026
1967969.81,5783134.13,200.89,177.1916308,-38.0247957
1967843.28,5782952.98,142.47,177.1902859,-38.02647534
1967809.07,5782769.11,104.44,177.1899915,-38.02814198
1967777.29,5783734.74,169.27,177.1891353,-38.01947509
1967767.85,5783924.85,165.02,177.1889306,-38.01777007
1967539.7,5783017.12,221.47,177.1868033,-38.02602192
1967467.62,5782616.14,176.85,177.1861897,-38.02965544
1967454.61,5783161.36,146.43,177.1857625,-38.02475987
1967449.71,5782858.37,167.5,177.1858621,-38.02748535
1967403.22,5783357.65,166.62,177.185078,-38.02301628
1967366.1,5782325.77,163.24,177.1851848,-38.03230665
1967180.74,5783090.43,168.42,177.1826868,-38.02550838
1967176.18,5782884.91,157.61,177.1827402,-38.02735761
1967174.85,5782674.96,153.45,177.1828326,-38.02924534
1967165.76,5782439.55,144.4,177.1828498,-38.03136507
1967158.48,5783293.85,178.62,177.1823297,-38.0236889
1966968.58,5783370.57,175.31,177.1801326,-38.02307614
1966959.28,5782571.5,169.96,177.1804358,-38.0302626
1966932.89,5783015.83,174.6,177.1799085,-38.02627928
1966883.21,5782772.11,157.43,177.1794687,-38.02849014
1966861,5786744,227.87,177.1771862,-37.99279634
1966846,5786724,247.65,177.1770261,-37.99298218
1965668.11,5786319.21,221.02,177.1638529,-37.9970961
1965540.81,5786334.02,264.06,177.1623994,-37.99701425
1964000.17,5785142.54,195.69,177.1455025,-38.00834394
1963990.25,5785135,207.57,177.1453937,-38.0084157
1963777.16,5780855.05,180.84,177.1451437,-38.04697463
1963770.77,5780820.09,180.84,177.1450888,-38.04729146
1963769.25,5780757.06,188.72,177.1451035,-38.04785866
1961077.26,5781288.57,224.98,177.1142339,-38.04415753
1961061.47,5781288.12,204.14,177.1140547,-38.04416787
1960992.12,5771110.6,235.41,177.1184053,-38.13568589
1960846.75,5788167.68,268.17,177.1081548,-37.98240863
1958981.82,5788817.46,301.74,177.0866483,-37.97730629
1958975.98,5788797.73,319.11,177.0865919,-37.97748597
1958790.12,5788775.67,277.42,177.084492,-37.97775773
1958658.04,5788860.94,288.91,177.0829494,-37.97704332
1958658,5788847.64,291.1,177.0829555,-37.97716291
1957987.51,5788655.05,314.88,177.0754364,-37.97915883
1957984.03,5788661.79,323.26,177.0753935,-37.97909961
1957773.15,5789135.29,269.77,177.0727628,-37.97492589
1957766.53,5789143.4,268.71,177.0726835,-37.97485559
1957633.51,5789167.3,307.8,177.0711609,-37.97469311
1957543,5789102,198.33,177.0701655,-37.97531579
