File Name,depth_input,vs_input,Depth,Qc,Fc,u,Ic,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs,Subset_Region,Subset_Geology
SCPT_124802,7.51,161.6,7.51,0.7729,0.0092,0.3602,2.88874259926851,108.35757861854,131.913573970396,119.431145501697,100.955473817974,241.858407798578,6,2
SCPT_124802,8.01,188.7,8.01,0.907,0.0415,0.3526,3.13818017051893,126.322210993987,153.783561210071,152.971787607167,119.184863614988,299.372103227125,6,2
SCPT_124802,8.51,282.7,8.51,5.8943,0.0533,0.0012,2.06693019883023,188.057765531505,228.939888473137,201.96548461654,162.031271889282,318.425375655432,6,2
SCPT_124802,9.01,217.4,9.01,4.3369,0.0157,0.0001,1.9913906045296,162.177556903843,197.433547535113,162.604864737519,142.313080954021,274.971200626758,6,2
SCPT_124802,9.51,243.7,9.51,4.1303,0.0171,-0.0015,2.0342019399609,163.291688505214,198.789881658522,162.651017162645,144.474777365831,281.765090178276,6,2
SCPT_124802,10.01,231,10.01,4.8274,0.0954,0.0004,2.34277106011551,198.792718679392,242.008527087956,216.947976916583,172.860484071836,357.33071144155,6,2
SCPT_124802,10.51,245.4,10.51,4.8423,0.0088,-0.0558,1.84821387450324,161.449316338191,196.546993803016,154.298759232616,143.834438912251,265.385611248316,6,2
SCPT_124802,11.01,228.6,11.01,4.4112,0.4266,0.0324,2.86292070624625,232.931689491747,283.5690132943,288.271686574974,198.400425919285,444.431034192657,6,2
SCPT_124802,11.51,282.3,11.51,4.2975,0.3113,1.262,2.77489151933806,220.110052926571,267.960064432347,256.165915242104,194.945725709522,431.331221749697,6,2
SCPT_124802,12.01,255.8,12.01,4.2551,0.4631,1.1568,2.91249060801278,230.775935835081,280.94461753836,275.3346354448,203.584539001636,459.066699227394,6,2
SCPT_124802,12.51,287.3,12.51,3.9798,0.5561,0.6183,3.01529824895605,235.411995946849,286.58851680486,283.130128349005,207.053733094615,474.760637524297,6,2
SCPT_124802,13.01,250.5,13.01,3.3765,0.1879,1.1022,2.76271324228252,201.799523176034,245.668984736041,214.034118075948,186.819431765973,415.90395171027,6,2
SCPT_124802,13.51,304,13.51,2.2763,0.1323,0.0723,2.89851101666423,185.697639793855,226.066691922954,192.046187565319,173.248915567314,400.001699694826,6,2
SCPT_124802,14.01,282.2,14.01,10.92,0.0655,0.0176,1.74528727212105,218.712052442089,266.258150799065,215.013623826983,206.909157550868,372.737270110435,6,2
SCPT_124802,14.51,280.2,14.51,9.2332,0.022,-0.0052,1.61878287018077,191.977060856861,233.711204521396,182.449130155089,186.291555566526,325.926869923072,6,2
SCPT_124802,15.01,289.4,15.01,9.0451,0.0248,-0.0586,1.6504420297283,194.722972675654,237.0540536921,183.895025054894,189.371522419943,333.84144231184,6,2
SCPT_124802,15.51,246.1,15.51,9.7604,0.0505,-0.0554,1.75042936376574,212.572551306584,258.783975503668,202.606065474807,204.957787343573,369.431973362045,6,2
