depth_input,Mc15
13,-0.170195544
13.5,-0.02571619
14,-0.095992668
14.5,-0.138865429
15,-0.244083678
15.5,-0.070566268
16,-0.069775436
16.5,0.070589555
17,0.056873227
17.5,0.071542771
18,0.290168576
18.5,0.275898377
19,0.104783959
19.5,-0.027086126
20,0.221945435
0.1,0.694356738
0.5,0.184897401
1,0.189115697
1.5,0.154386738
2,0.065769095
2.5,0.108709147
3,0.064010046
3.5,0.069073909
4,-0.059121893
4.5,-0.040410979
5,-0.143302537
5.5,-0.013529078
6,-0.075177844
6.5,0.058573558
7,-0.022798172
7.5,-0.123026809
8,-0.250362571
8.5,-0.031841195
9,0.09635896
9.5,0.119260425
10,-0.136720518
10.5,0.040367987
11,0.133826569
11.5,0.15774561
12,0.046144481
12.5,0.055186466
13,0.079200515
13.5,0.060104441
14,-0.047105463
14.5,0.072624791
15,0.126982579
15.5,0.018139194
16,-0.147633774
16.5,-0.177623987
17,-0.122680939
17.5,0.00748827
18,-0.020436978
18.5,-0.018370968
19,-0.110886276
19.5,0.004550811
20,-0.011102469
0.1,0.579949376
0.5,0.05492545
1,0.276188991
1.5,0.01196597
2,0.146627128
2.5,0.102894995
3,0.182786255
3.5,0.159317649
4,0.067622118
4.5,0.009354837
5,-0.00195908
5.5,-0.063808544
6,-0.054692401
6.5,-0.000978819
7,0.018408795
7.5,-0.022272704
8,-0.092720214
8.5,-0.179438701
9,-0.0938624
9.5,-0.101238893
10,-0.011415942
10.5,-0.076226199
11,0.099747865
11.5,0.01683986
12,0.137567915
12.5,0.067627575
13,0.107844142
13.5,0.085450296
14,0.220457371
14.5,-0.057763088
15,-0.450949121
15.5,-0.207399571
16,0.011447073
16.5,0.022066231
17,-0.229247138
17.5,0.061515479
18,0.536065044
18.5,0.028422004
19,-0.096377241
19.5,-0.018466797
20,-0.027443267
0.1,0.57271861
0.5,-0.19145083
1,0.339253656
1.5,0.223361695
2,0.222377975
2.5,0.190617048
3,0.096466005
3.5,0.146527025
4,0.048225499
4.5,-0.086588953
5,0.322517946
5.5,0.002784911
6,0.008938272
6.5,-0.050082825
7,0.092605796
7.5,0.062611052
8,-0.078745617
8.5,0.092739444
9,0.124717182
9.5,-0.11146264
10,-0.059210485
10.5,-0.105909126
11,-0.088178752
11.5,-0.322878809
12,-0.16042081
