Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
15.34,20.2008,0.1255,0.144,239.31891852434435,252.04819229256296,306.8412775735549,259.0166645385034,244.70214491850925,416.9240838938963
15.36,20.3829,0.1254,0.1388,239.13658196787827,252.1345864094296,306.94645302017517,259.34960675259566,245.09112016890063,417.046019987818
15.38,20.7036,0.1218,0.1539,235.738847739116,251.03866078726165,305.61228269753593,258.7419849769516,245.1382120820176,415.65460386334223
15.4,21.0978,0.1215,0.1494,235.37684838023455,251.10451266234472,305.6924501976371,259.41311298920266,245.84340766697153,415.7160278599487
15.42,21.2387,0.1216,0.1541,235.36197074817758,251.2172309399686,305.82967244865745,259.71005797918025,246.18477307463803,415.9175185920995
15.44,21.2935,0.1271,0.1439,240.24259584937028,253.19757798576003,308.2405297217948,261.6880650236677,247.2711379540011,418.4614649074084
15.46,21.4515,0.1352,0.1418,247.32612422340355,256.00468551775083,311.6578780216097,264.6538122686298,248.89663800707277,421.99714513006336
15.48,21.8726,0.1369,0.1359,248.71821628161672,256.74957157127903,312.56469582590495,266.01791923659664,249.94318185125235,422.8823105149548
15.5,22.4957,0.1391,0.1406,250.50916507000434,257.6925315782947,313.7126471387935,267.8967416822537,251.37872350824335,423.9862166211297
15.52,22.9341,0.1396,0.1435,250.82616500269248,258.00948251981026,314.0985004588995,268.86711687503316,252.24384341691973,424.3830490732905
15.54,23.283,0.1473,0.1348,257.3589892861939,260.62894805106396,317.2874150186866,271.93679130081796,254.01282242364468,427.54251467596436
15.56,23.4711,0.1554,0.1385,264.0959629767471,263.23482600914247,320.459788185043,274.74030612862106,255.53108551218736,430.6939405654792
15.58,23.5409,0.1586,0.1302,266.68201528452886,264.27234458847033,321.72285428161604,275.8256154792058,256.1646866252647,431.9865503838591
15.6,23.6289,0.1598,0.1407,267.54474448648216,264.6907950218216,322.23227220047846,276.3235137070461,256.5542410537105,432.56237538615164
15.62,23.6811,0.1626,0.1268,269.78630389902474,265.59254582329476,323.3300557848806,277.24989848752637,257.09760067673045,433.687894710934
15.64,23.5497,0.1658,0.1284,272.3098439647855,266.52674252215314,324.46733872262126,277.9214183668071,257.3991150276606,434.91094075398536
15.66,23.5836,0.1732,0.1302,278.22770625622485,268.6872107776264,327.09747399015384,280.07284091773954,258.4789975848903,437.53279439583054
15.68,23.754,0.1763,0.1278,280.6162355729728,269.6583546216467,328.27973606113517,281.25008453698365,259.2203313716984,438.70800680954204
15.7,23.9091,0.17,0.115,275.4233982185944,267.994038614579,326.253612226444,279.78236168479003,258.77260140796295,436.79946235824247
15.72,23.8898,0.1635,0.1303,269.95579095208603,266.12848693234804,323.9825058306846,277.85714717441647,257.99792046473283,434.7287170189178
15.74,23.6862,0.1594,0.1296,266.46340337296937,264.891070624868,322.47608597810023,276.2749005298205,257.2284520071412,433.4077757557928
15.76,23.5221,0.154,0.1188,261.8869393114565,263.25492748787593,320.4842595504577,274.37112624721067,256.32751507049693,431.58674109584433
15.78,23.4736,0.1432,0.1214,252.66151785156435,259.8641894100446,316.35640449918475,270.96255779691177,254.79935010801452,427.65712128887924
15.8,23.5913,0.1375,0.1227,247.67904691124335,258.0396820865131,314.1352651487985,269.366335073933,254.2142474149044,425.55697491487894
15.82,23.7083,0.1368,0.1233,246.98370126584123,257.8630793102733,313.9202704646805,269.35077767360195,254.3771105672935,425.4264133673543
15.84,23.8337,0.1358,0.1182,246.04268592066092,257.5871484301397,313.58435461060486,269.2587978233593,254.50482170715566,425.1733179133278
15.86,23.9352,0.1378,0.107,247.69912752151785,258.33212022411243,314.49127679457166,270.0965036733559,255.0592801708325,426.131592660849
15.88,24.0085,0.1373,0.1145,247.16345512376344,258.2073084813364,314.3393320642356,270.0568854377578,255.18402307549152,426.07573560858856
15.9,24.0422,0.1405,0.1074,249.8261947698815,259.33685826825604,315.7144361526595,271.14352598787855,255.8136086156403,427.49433022183354
