File Name, max_depth of CPT, Vsz_Hegazy 2006, Vs30_Boore 2004, Vsz_Andrus 2007-H, Vs30_Boore 2004, Vsz_Andrus 2007-P, Vs30_Boore 2004, Vsz_Robertson 2009, Vs30_Boore 2004, Vsz_McGann 2015, Vs30_Boore 2004,Vsz_McGann 2018, Vs30_Boore 2004
SCPT_129763_Raw01, 14.00, 214.40, 258.68, 175.88, 210.95, 214.11, 258.32, 215.50, 260.05, 138.17, 164.54, 263.33, 319.66
SCPT_170549_Raw01, 15.00, 137.51, 161.58, 98.51, 114.73, 119.92, 140.40, 118.47, 138.66, 83.49, 96.83, 199.80, 237.08
SCPT_148203_Raw01, 11.00, 419.25, 542.05, 155.45, 194.29, 189.24, 238.12, 233.24, 295.59, 106.74, 131.71, 232.06, 294.04
SCPT_57343_Raw01, 20.00, 305.62, 342.16, 227.77, 254.29, 277.28, 310.15, 258.94, 289.44, 180.72, 201.32, 336.37, 376.92
SCPT_195188_Raw01, 19.00, 153.65, 172.87, 128.37, 144.13, 156.28, 175.87, 148.95, 167.52, 110.96, 124.37, 265.50, 300.64
SCPT_148992_Raw01, 24.00, 112.22, 119.07, 156.75, 166.54, 190.82, 202.92, 147.20, 156.36, 135.75, 144.15, 269.87, 287.40
SCPT_156301_Raw01, 29.00, 157.62, 158.97, 163.64, 165.06, 199.21, 201.00, 182.01, 183.62, 134.22, 135.34, 280.54, 283.20
SCPT_156296_Raw01, 26.00, 139.06, 144.35, 153.18, 159.08, 186.49, 193.83, 167.94, 174.48, 127.34, 132.13, 268.28, 279.31
SCPT_129762_Raw01, 12.00, 221.15, 275.29, 160.24, 197.22, 195.08, 241.77, 200.29, 248.45, 121.75, 148.41, 248.52, 310.63
SCPT_57364_Raw01, 16.00, 193.05, 225.81, 143.64, 166.84, 174.86, 204.05, 171.43, 199.96, 116.60, 134.77, 255.21, 300.49
SCPT_165738_Raw01, 29.00, 84.48, 85.13, 137.21, 138.36, 167.04, 168.49, 117.08, 118.03, 125.31, 126.34, 278.37, 281.01
SCPT_140260_Raw01, 19.00, 213.29, 240.90, 174.81, 196.97, 212.81, 240.35, 195.88, 221.01, 140.76, 158.21, 294.13, 333.46
