Depth,Qc,Fs,u,Hegazy Vs,Andrus-H Vs,Andrus-P Vs,Rob Vs,Mc15 Vs,Mc18 Vs
9.54,49.9599,0.2122,0.0385,327.07504313001556,259.18670487336306,315.5316407153985,311.7368813170436,255.18411850365524,398.50354863575905
9.56,51.7925,0.1615,-0.0115,277.23354160955483,240.544634727688,292.8369466250115,295.1821116610666,250.9099400882603,384.9139096488807
9.58,52.458,0.107,0.0222,223.35304324255844,215.93384471642216,262.8759848721661,273.5237943960814,243.06877766145777,365.0830979281867
9.6,56.5441,0.1749,-0.028,286.1712450404697,242.6344362297723,295.3810528014619,302.43992702956984,256.0852416842274,389.58723500294906
9.62,53.3501,0.2566,0.0044,364.0116446746002,270.9793815843896,329.8879427983874,327.4291872182325,262.3108588514576,409.5314076634564
9.64,52.2291,0.2556,0.0444,364.1186717914708,271.2165917902817,330.17672044034293,326.6020330288331,261.5761811301075,409.47435570323256
9.66,49.4116,0.2819,0.0572,390.48702355381386,279.091391604773,339.7634332579845,332.5114161278248,261.76448281031895,414.76840085934646
9.68,47.1446,0.304,0.068,412.48652883885575,284.9114810643394,346.84875955658714,337.0725405693936,261.78447137567025,418.93166050907973
9.7,49.6344,0.2742,0.0724,383.15100672464706,277.2403742489012,337.5100208247493,330.65003978685263,261.6330977523148,413.72385745619084
9.72,53.4419,0.2262,0.0788,336.027988641608,262.4007294138466,319.44436624294366,318.6751268735555,260.39157152306797,403.9333250162061
9.74,52.1418,0.068,0.0677,186.09072627935538,195.5674823310211,238.08215240298225,256.5635960922511,234.96882199863805,345.61971416825014
9.76,52.269,0.1037,0.041,220.30331253715445,214.91638300370033,261.6373358305917,272.8912896313873,243.56880907428385,365.3059993671297
9.78,53.0087,0.1501,0.0557,265.0497923259208,235.76371296555692,287.0166940450258,292.4185232367273,251.81268988088658,383.53512573962894
9.8,54.2246,0.1389,0.0918,253.36631437600192,230.11379592396048,280.1385341682997,288.6904775294793,251.1581259547302,379.94811790378105
9.82,55.2545,0.1337,0.0717,247.7050480939325,227.04242019444052,276.39946806279715,287.1904393671061,251.18555778160734,378.3158747668399
9.84,54.6405,0.1298,0.0424,244.3642765200436,225.81858818796968,274.909585620137,285.438137898799,250.30779333412562,377.02559487278603
9.86,54.7343,0.117,0.0768,231.91066971769197,219.71571914749293,267.4800059186871,280.24909896321435,248.36157753176383,372.16703089737314
9.88,55.3986,0.1024,0.0463,217.5159228609332,211.82870915604641,257.8784285377956,274.3925776494769,246.19485666953284,365.9941534127155
9.9,53.6259,0.0679,-0.0074,185.90548559523765,194.58669379356664,236.88814896608113,258.1845750419757,236.96245461251422,347.0530794371138
9.92,52.5132,0.1393,0.0426,254.9313995520348,231.95837149482222,282.38410442847925,288.59439282248326,250.90809447248225,381.1718679034979
9.94,53.4913,0.1384,-0.0032,253.44388406562274,230.89560309054903,281.09029941458147,288.8272708680236,251.58127127292215,381.0969716502577
9.96,53.3702,0.1085,-0.0074,224.5416741732825,216.96338691990536,264.1293405981457,276.4812869665872,246.60712431701813,369.4088071571327
9.98,54.1656,0.0976,-0.0119,213.6164327515646,210.6891854116654,256.4911822402883,272.19958801029986,245.10752279434996,364.58417422201467
10.0,53.5169,0.0941,0.0385,210.51797126149296,209.4431150221941,254.97422698354063,270.39165137352063,244.07790017139243,363.0088720640813
10.02,51.0255,0.1305,0.0102,247.37775836873485,229.49772884310906,279.38853946117626,284.7795112764398,249.2160962001021,378.83167241917954
10.04,49.9793,0.0742,0.0489,192.82184007047886,201.7553726710401,245.6152362951793,259.63339886619895,237.22972404983364,352.1453351475564
10.06,48.4524,0.0419,0.0614,165.70056270856037,185.69184521091552,226.05963764807106,244.83074799950532,225.35605314820043,327.0214205138876
10.08,44.796,0.0135,0.091,175.12468848715162,194.7945710302733,237.1412169064197,247.08450284464624,202.94390078860317,282.2265262167214
10.1,45.5969,0.0551,0.0619,176.0758829814132,194.8336668361357,237.18881180051304,248.26012899314594,228.7817793053974,339.06182257751703
10.12,47.0194,0.059,0.0939,179.38032402928468,195.88733484940957,238.4715380775421,251.07728539691084,231.23130083426986,342.3387314193748
10.14,45.8808,0.0487,0.0664,170.54590546798931,191.16058028028442,232.71722816730278,245.77897130211284,226.90085880699752,334.0120940763177
10.16,47.4429,0.0458,0.0433,168.3603597392878,188.49483877352068,229.47197763732953,245.86684331637102,226.96284425170037,331.60421541556445
10.18,48.8318,0.1567,0.0346,274.15026754910303,242.47657511827185,295.1888740570266,294.3369129001477,252.54316884730892,389.38149928952896
10.2,49.6467,0.2527,0.0095,361.8761761815975,273.3413734093313,332.7634111070121,326.13612631974644,263.5318564821658,414.59481762493886
10.22,50.2815,0.2496,0.0556,358.37434685611345,272.29637821846404,331.49124304856497,325.6654087748778,263.8877660934486,414.17420609265287
10.24,47.9502,0.2313,0.0901,344.07517833504306,268.09196523778905,326.3728272460041,318.87883476390016,260.58031778482183,410.1534092625422
10.26,46.5181,0.2035,0.0956,319.9356311173902,260.3857867112153,316.99139251800125,309.40678363694394,256.8415008325975,403.4909646274744
10.28,47.0395,0.2224,-0.0478,336.9085274052098,266.0515506278638,323.88884424261676,315.8276725474448,259.2977356221092,408.4113088688843
