depth_input,A07-H
11,-0.169568061
11.5,-0.171799842
12,-0.09510254
12.5,-0.051388677
13,0.046931826
13.5,0.128166126
14,0.02738613
14.5,0.111308636
15,0.034425175
15.5,0.054275515
16,-0.000726588
16.5,-0.031528341
17,-0.005015691
17.5,0.031784309
18,-0.01235907
18.5,-0.020692274
19,0.144666237
0.51,0.221214787
1.01,0.354468419
1.51,0.28984291
2.01,0.309153955
2.51,0.374966964
3.01,0.224845838
3.51,0.23778891
4.01,0.110101265
4.51,0.053576783
5.01,0.146689006
5.51,0.071659672
6.01,-0.213801868
6.51,-0.058025265
7.01,0.104695274
7.51,-0.095230221
8.01,0.249185779
8.51,0.281275929
9.01,0.194592586
9.51,0.240795022
10.01,0.130351083
10.51,-0.045179762
11.01,-0.03487311
11.51,-0.061936107
12.01,-0.096395505
12.51,-0.027372611
13.01,0.028723946
13.51,0.028342148
14.01,0.093234235
15.01,0.323216322
15.51,0.29584772
16.01,-0.062533356
16.51,-0.029343354
17.01,0.290405644
17.51,0.388756649
18.01,0.579527367
18.51,0.491683537
19,0.272954761
0.51,0.593889061
1.01,0.588997026
1.51,0.544576869
2.01,0.239684848
2.51,0.582589603
4.01,1.350950436
4.51,1.340382778
5.01,1.347883512
6.01,0.124267424
6.51,0.203173464
7.01,0.125150512
7.51,0.313155929
8.01,0.192867242
8.51,0.299034533
9.01,0.04503966
9.51,0.247820022
10.01,0.446805323
10.51,0.188489366
11.01,0.002953692
11.51,0.143077832
12.01,0.154250436
12.51,0.156548786
13.01,0.258246715
13.51,0.256969468
14.01,0.181647166
14.51,0.139838493
15.01,0.123137744
15.51,0.181465969
16.01,0.328123347
16.51,0.299301247
17.01,0.189367187
17.51,0.02951001
18.01,-0.017175709
18.51,0.29601925
19.01,0.364472277
19.51,0.310139299
20.01,0.375398987
20.51,0.482751754
21.01,0.355680241
21.51,0.304977598
22.01,0.321646053
22.51,0.345262559
23,0.249010978
0.51,0.783147193
1.01,1.314435147
1.51,0.993309969
2.01,0.382674407
2.51,0.529576964
3.01,-0.814600667
3.51,-0.857605094
4.01,0.205675056
4.51,0.336202133
5.01,0.300345903
5.51,0.246033225
6.01,-0.011062475
6.51,-0.148601993
7.01,0.262919755
7.51,0.260523256
8.01,0.59051768
8.51,0.10706261
9.01,0.080484628
9.51,0.168131847
10.01,-0.139723866
10.51,0.164057941
