Depth,Qc,Fs,u
6.32,0.429,0.0090,0.0370
6.33,0.437,0.0110,0.0370
6.34,0.429,0.0110,0.0370
6.35,0.437,0.0090,0.0380
6.36,0.437,0.0090,0.0380
6.37,0.446,0.0090,0.0380
6.38,0.454,0.0100,0.0380
6.39,0.454,0.0090,0.0380
6.40,0.480,0.0090,0.0380
6.41,0.488,0.0100,0.0380
6.42,0.514,0.0100,0.0380
6.43,0.522,0.0090,0.0380
6.44,0.540,0.0100,0.0380
6.45,0.557,0.0090,0.0380
6.46,0.582,0.0110,0.0390
6.47,0.616,0.0120,0.0390
6.48,0.642,0.0120,0.0390
6.49,0.693,0.0130,0.0390
6.50,0.718,0.0120,0.0400
6.51,0.795,0.0120,0.0400
6.52,0.838,0.0150,0.0400
6.53,0.940,0.0140,0.0410
6.54,1.162,0.0140,0.0470
6.55,1.187,0.0140,0.0480
6.56,1.255,0.0140,0.0480
6.57,1.290,0.0130,0.0480
6.58,1.272,0.0130,0.0480
6.59,1.247,0.0140,0.0490
6.60,1.196,0.0140,0.0490
6.61,1.136,0.0120,0.0500
6.62,1.102,0.0120,0.0500
6.63,1.068,0.0130,0.0500
6.64,1.017,0.0140,0.0510
6.65,0.983,0.0120,0.0510
6.66,0.974,0.0120,0.0520
6.67,0.966,0.0120,0.0520
6.68,0.966,0.0130,0.0530
6.69,0.957,0.0140,0.0530
6.70,0.957,0.0130,0.0530
6.71,0.957,0.0130,0.0540
6.72,0.966,0.0110,0.0540
6.73,0.957,0.0110,0.0550
6.74,0.949,0.0120,0.0550
6.75,0.966,0.0110,0.0560
6.76,0.983,0.0110,0.0560
6.77,1.000,0.0120,0.0570
6.78,1.017,0.0110,0.0570
6.79,1.042,0.0110,0.0580
6.80,1.059,0.0120,0.0580
6.81,1.076,0.0120,0.0580
6.82,1.102,0.0120,0.0590
6.83,1.119,0.0110,0.0590
6.84,1.145,0.0110,0.0600
6.85,1.162,0.0110,0.0600
6.86,1.179,0.0110,0.0610
6.87,1.170,0.0120,0.0610
6.88,1.145,0.0120,0.0620
6.89,1.128,0.0110,0.0620
6.90,1.068,0.0110,0.0630
6.91,1.042,0.0110,0.0630
6.92,0.983,0.0120,0.0630
6.93,0.932,0.0110,0.0630
6.94,0.906,0.0110,0.0640
6.95,0.889,0.0110,0.0640
6.96,0.880,0.0110,0.0650
6.97,0.872,0.0110,0.0660
6.98,0.863,0.0110,0.0660
6.99,0.863,0.0110,0.0670
7.00,0.855,0.0110,0.0670
7.01,0.846,0.0100,0.0680
7.02,0.846,0.0110,0.0680
7.03,0.855,0.0110,0.0680
7.04,0.863,0.0110,0.0680
7.05,0.872,0.0110,0.0690
7.06,0.889,0.0110,0.0690
7.07,0.889,0.0110,0.0700
7.08,0.889,0.0120,0.0710
7.09,0.906,0.0110,0.0710
7.10,0.915,0.0110,0.0720
7.11,0.923,0.0110,0.0730
7.12,0.923,0.0120,0.0730
7.13,0.932,0.0120,0.0730
7.14,0.957,0.0120,0.0730
7.15,0.974,0.0120,0.0740
7.16,1.000,0.0120,0.0740
7.17,1.017,0.0120,0.0750
7.18,1.042,0.0130,0.0760
7.19,1.051,0.0130,0.0760
7.20,1.059,0.0120,0.0770
7.21,1.059,0.0120,0.0770
7.22,1.059,0.0140,0.0780
7.23,1.076,0.0130,0.0780
7.24,1.093,0.0150,0.0780
7.25,1.128,0.0150,0.0790
7.26,1.162,0.0150,0.0800
7.27,1.290,0.0140,0.0810
7.28,1.375,0.0160,0.0810
7.29,1.605,0.0180,0.0830
7.30,1.724,0.0190,0.0830
7.31,1.963,0.0200,0.0830
7.32,2.074,0.0210,0.0840
7.33,2.261,0.0240,0.0850
7.34,2.414,0.0270,0.0865
7.35,2.568,0.0270,0.0880
7.36,2.645,0.0300,0.0880
7.37,2.696,0.0320,0.0880
7.38,2.721,0.0330,0.0900
7.39,2.721,0.0330,0.0900
7.40,2.704,0.0350,0.0920
7.41,2.679,0.0360,0.0920
7.42,2.704,0.0347,0.0930
7.43,2.738,0.0333,0.0930
7.44,2.815,0.0320,0.0930
7.45,2.790,0.0330,0.0940
7.46,2.773,0.0350,0.0940
7.47,2.755,0.0360,0.0950
7.48,2.747,0.0390,0.0950
7.49,2.721,0.0420,0.0960
7.50,2.704,0.0450,0.0960
7.51,2.701,0.0460,0.1013
7.52,2.699,0.0460,0.1067
7.53,2.696,0.0450,0.1120
7.54,2.628,0.0430,0.1130
7.55,2.585,0.0400,0.1140
7.56,2.576,0.0400,0.1140
7.57,2.542,0.0380,0.1140
7.58,2.415,0.0370,0.1140
7.59,2.321,0.0360,0.1140
7.60,2.201,0.0330,0.1140
7.61,1.954,0.0310,0.1140
