File Name, Hegazy Depth, Hegazy Vs, Andrus Depth, Andrus Vs, Rob Depth, Rob Vs, Mc15 Depth, Mc15 Vs, Mc18 Depth, Mc18 Vs
CPT_6457, 6.40, 264.66, 6.40, 210.09, 6.40, 243.73, 6.40, 183.78, 6.40, 323.25
CPT_6457, 6.42, 253.71, 6.42, 207.04, 6.42, 239.52, 6.42, 182.21, 6.42, 319.90
CPT_6457, 6.44, 246.50, 6.44, 205.07, 6.44, 236.84, 6.44, 181.33, 6.44, 317.77
CPT_6457, 6.46, 249.84, 6.46, 205.82, 6.46, 237.73, 6.46, 181.54, 6.46, 318.95
CPT_6457, 6.48, 258.42, 6.48, 208.13, 6.48, 240.81, 6.48, 182.73, 6.48, 321.98
CPT_6457, 6.50, 265.18, 6.50, 210.02, 6.50, 243.37, 6.50, 183.84, 6.50, 324.45
CPT_6457, 6.52, 273.11, 6.52, 212.21, 6.52, 246.37, 6.52, 185.12, 6.52, 327.24
CPT_6457, 6.54, 268.58, 6.54, 211.20, 6.54, 244.97, 6.54, 184.87, 6.54, 326.25
CPT_6457, 6.56, 267.60, 6.56, 210.78, 6.56, 244.32, 6.56, 184.55, 6.56, 326.06
CPT_6457, 6.58, 275.39, 6.58, 212.41, 6.58, 246.44, 6.58, 185.01, 6.58, 328.34
CPT_6457, 6.60, 279.04, 6.60, 212.93, 6.60, 247.08, 6.60, 184.95, 6.60, 329.35
CPT_6457, 6.62, 279.78, 6.62, 212.79, 6.62, 246.81, 6.62, 184.63, 6.62, 329.56
CPT_6457, 6.64, 281.15, 6.64, 213.11, 6.64, 247.21, 6.64, 184.85, 6.64, 330.21
CPT_6457, 6.66, 273.96, 6.66, 212.02, 6.66, 245.74, 6.66, 185.07, 6.66, 328.90
CPT_6457, 6.68, 282.69, 6.68, 214.52, 6.68, 249.21, 6.68, 186.68, 6.68, 331.99
CPT_6457, 6.70, 269.05, 6.70, 211.63, 6.70, 245.31, 6.70, 185.95, 6.70, 328.65
CPT_6457, 6.72, 254.99, 6.72, 208.53, 6.72, 241.32, 6.72, 185.29, 6.72, 325.02
CPT_6457, 6.74, 249.85, 6.74, 207.47, 6.74, 240.07, 6.74, 185.33, 6.74, 323.92
CPT_6457, 6.76, 253.12, 6.76, 208.73, 6.76, 241.86, 6.76, 186.47, 6.76, 325.59
CPT_6457, 6.78, 253.43, 6.78, 208.70, 6.78, 241.71, 6.78, 186.35, 6.78, 325.81
CPT_6457, 6.80, 255.06, 6.80, 209.06, 6.80, 242.08, 6.80, 186.45, 6.80, 326.49
CPT_6457, 6.82, 259.48, 6.82, 210.15, 6.82, 243.43, 6.82, 186.88, 6.82, 328.05
CPT_6457, 6.84, 264.85, 6.84, 211.62, 6.84, 245.35, 6.84, 187.68, 6.84, 330.02
CPT_6457, 6.86, 265.27, 6.86, 212.09, 6.86, 246.09, 6.86, 188.41, 6.86, 330.73
CPT_6457, 6.88, 260.54, 6.88, 211.08, 6.88, 244.82, 6.88, 188.33, 6.88, 329.71
CPT_6457, 6.90, 255.60, 6.90, 210.05, 6.90, 243.61, 6.90, 188.36, 6.90, 328.67
CPT_6457, 6.92, 256.89, 6.92, 210.44, 6.92, 244.08, 6.92, 188.64, 6.92, 329.35
CPT_6457, 6.94, 262.85, 6.94, 211.85, 6.94, 245.77, 6.94, 189.06, 6.94, 331.29
CPT_6457, 6.96, 268.55, 6.96, 213.23, 6.96, 247.50, 6.96, 189.59, 6.96, 333.19
CPT_6457, 6.98, 271.01, 6.98, 213.95, 6.98, 248.45, 6.98, 190.08, 6.98, 334.26
CPT_6457, 7.00, 271.96, 7.00, 214.34, 7.00, 248.98, 7.00, 190.50, 7.00, 334.91
CPT_6457, 7.02, 275.77, 7.02, 215.38, 7.02, 250.35, 7.02, 191.11, 7.02, 336.35
