depth_input,R09
22.51,0.250915126
23.01,0.687128116
23.51,0.563531893
24,0.885492167
0.51,-0.327327179
1.01,-0.089113223
1.51,0.016276487
2.01,0.142187082
2.51,0.232638384
3.01,0.287965422
3.51,0.316004536
4.01,0.234610161
4.51,0.145617859
5.01,-0.327379777
5.51,0.015870078
6.01,0.316741082
6.51,0.373479694
7.01,0.238461297
7.51,0.527989814
8.01,0.757926555
8.51,0.018247476
9.01,0.037391697
9.51,-0.113733418
10.01,0.003115516
10.51,0.16653037
11.01,-0.003884116
11.51,0.133467046
12.01,0.320599314
12.51,0.455479729
13.01,0.381245526
13.51,0.386257738
14.01,0.310151815
14.51,0.250144029
15.01,0.74419961
15.51,0.279270947
16.01,0.406839988
16.51,0.511629423
17.01,0.302170103
17.51,0.180076908
18.01,0.503156857
18.51,0.766918107
19,0.556115545
0.1,-0.627526551
0.5,-0.080226156
1.5,-0.321095162
2,-0.233564981
2.5,-0.253503262
3,0.340473937
3.5,0.317986907
4,-0.310536418
4.5,0.040692502
5,0.239074469
5.5,-0.053554021
6,0.165807808
6.5,0.064430294
7,-0.114075922
7.5,-0.438034024
8,0.123285058
8.5,-0.021857851
9,-0.226115223
9.5,0.168001103
10,-0.004068586
10.5,0.002200542
11,0.367411913
11.5,0.159981606
12,0.227556405
12.5,0.279136361
13,0.246809659
13.5,0.185459478
14,0.050331869
14.5,-0.228132054
15,-0.13833069
15.5,0.450726102
16,0.188670963
16.5,0.5143448
17,0.593372177
17.5,-0.082881766
18,-0.308145313
18.5,-0.288242035
19,-0.385118225
0.51,0.659111958
1.01,-0.280427516
1.51,-0.196814411
2.01,0.283597372
2.51,0.34952111
3.01,-0.595908895
3.51,-0.50275382
4.01,-0.135476621
4.51,-0.146513481
5.01,-0.085518302
5.51,-0.170732388
6.01,-0.100975288
6.51,-0.109342072
7.01,0.459316485
7.51,0.400932294
8.01,0.555403966
8.51,0.535489833
9.01,-0.372661404
9.51,-0.271871945
10.01,-0.184273105
10.51,-0.079632552
11.01,-0.617065514
11.51,-0.380939909
12.01,-0.56027646
12.51,0.358550019
13.01,0.425454481
13.51,0.314039706
14.01,0.327814422
14.51,0.178190348
15.01,0.20553674
15.51,0.110558997
16.01,0.117771658
16.51,0.197123342
17.01,0.162321793
17.51,0.158638209
18.01,0.252636529
18.51,0.258132427
19,0.383610237
0.1,1.246244971
1.5,0.97787542
2,1.172067526
2.5,-0.45065028
3,-0.335457454
3.5,-0.33014177
4,-0.085703514
4.5,-0.000936603
5,0.055326621
5.5,0.035152224
6,-0.061050463
6.5,-0.273106695
7,0.477245823
7.5,0.01581136
8,0.313848932
8.5,0.193826136
10,0.379584707
10.5,0.136909969
11,0.244286142
11.5,0.118338055
12,0.342106051
12.5,0.130408651
13,0.256203284
13.5,0.366154492
14,0.341300502
14.5,0.376961784
15,0.101717558
15.5,0.248589299
16,0.150023174
16.5,0.111250181
17,0.263054801
17.5,0.257645034
18,0.22855856
18.5,0.326776384
19,0.31756814
0.1,0.671620831
0.5,1.069526966
1,1.217128779
1.5,1.406558638
2,-0.433727998
2.5,0.1023363
3,-0.858145245
3.5,-0.049165097
4,0.151874271
4.5,0.102624553
5,0.438960687
5.5,0.864757466
6,0.500897755
6.5,0.455518087
7,0.120795243
7.5,0.056481781
8,0.029888476
8.5,0.174632055
9,0.266417222
9.5,0.17928132
10,0.311731251
10.5,0.196149585
11,-0.042706835
11.5,0.137104459
12,0.059307224
12.5,0.264583941
13,-0.249480714
13.5,0.426902132
14,0.412086758
14.5,0.057651089
15,0.065131347
15.5,0.339381429
16,0.262500429
16.5,0.145126874
17,0.10758556
17.5,0.355219608
18,0.797853086
0.1,-0.583761338
0.5,-0.079508493
1,0.177654593
1.5,0.295997627
2,-0.087889048
2.5,0.04703218
3,0.139861005
3.5,-0.088566999
4,0.079215957
4.5,-0.202684861
5,-0.071839664
5.5,-0.028395737
6,-0.217656963
6.5,0.101474882
7,-0.233803891
7.5,-0.195167518
8,0.124335542
8.5,0.296724978
9,0.138266479
9.5,-0.08661587
10,0.090771756
10.5,-0.093992647
11,0.067088372
11.5,0.406816811
12,0.497121127
12.5,0.096907645
13,0.757084006
13.5,0.685547373
14,0.442456626
14.5,0.636383285
15,0.570698599
15.5,0.073641143
16,0.111508571
16.5,0.500374224
17,-0.018619694
17.5,0.116127991
18,0.44377065
18.5,0.522004889
19,0.064393405
19.5,0.144528012
20,0.104473032
20.5,0.661458096
21,0.672233391
21.5,0.633828261
22,-0.091715035
22.5,-0.000751872
23,-0.254662297
0.51,0.145209963
1.01,-0.104663799
1.51,0.088560595
2.01,-0.043641245
2.51,0.077690861
3.01,-0.08850679
3.51,0.012648268
4.01,0.134396223
4.51,-0.12571223
5.01,0.01864623
5.51,-0.130978999
6.01,-0.237783104
6.51,-0.229384186
7.01,-0.229034875
7.51,-0.177055577
8.01,-0.218437896
8.51,-0.123115533
9.01,-0.30007176
9.51,-0.089140689
10.01,0.146247032
10.51,0.256857157
11.01,0.109678423
11.51,0.105759152
12.01,-0.047314795
12.51,0.233602159
13.01,-0.313445562
13.51,0.145935416
14.01,0.220952621
14.51,0.371493504
15.01,0.361011978
15.51,0.271962953
16.01,0.171878669
16.51,0.301244358
17,0.730104342
0.51,0.542844774
1.01,0.606835509
1.51,0.504384288
2.01,-0.09953853
2.51,0.370675056
3.01,0.29697664
3.51,0.275738643
4.01,0.124410789
4.51,0.774850613
5.01,0.755870172
5.51,0.592055166
6.01,0.487762834
6.51,0.494287238
7.01,0.108935144
7.51,-0.113169222
8.01,0.061877509
8.51,0.62187185
9.01,0.001242836
9.51,0.02058598
10.01,-0.521290102
10.51,-0.240593587
11.01,0.091190503
11.51,-0.452790603
12.01,-0.608626075
12.51,-0.063991848
13.01,-0.001514692
13.51,-1.277271531
14.01,-1.79256992
14.51,-1.555455701
15.01,-1.366829045
15.51,0.381818009
16.01,0.308518091
16.51,-0.466983214
17.01,-0.245286555
17.51,-0.055751526
18.01,0.018260297
18.51,0.721208683
19.01,0.199508468
19.51,0.165928779
20.01,0.355332432
20.51,0.221575223
21.01,0.605838344
21.51,0.244931339
22.01,0.475424709
22.51,0.468551072
23.01,0.683958399
23.51,1.267346422
24.01,0.265134616
24.51,0.420926514
25.01,0.454487688
25.51,0.794058993
26.01,1.071647263
26.51,0.761258718
27.01,0.473190299
27.51,0.619110274
28.01,0.779543226
28.51,0.753656657
29,0.727244682
1.51,0.039245185
2.01,0.200185246
2.51,-0.137142382
3.01,0.117332391
3.51,0.558392183
4.01,0.556461643
4.51,0.978563289
5.01,-0.405009753
5.51,0.439191851
6.01,-0.283379073
6.51,0.43175513
7.01,-0.156911303
7.51,0.535768885
8.01,0.344611362
8.51,0.683483497
9.01,0.156355767
9.51,0.098186796
10.01,0.821781014
10.51,1.030383933
11.01,0.515621026
11.51,0.573512377
12.01,0.681451239
12.51,0.435769624
13.01,0.765600982
13.51,0.778759555
14.01,-0.08692544
14.51,0.256419107
15.01,0.665822544
15.51,0.488974285
16.01,0.320074203
16.51,0.397063287
17.01,0.606096114
17.51,1.054426921
18.01,0.852284274
18.51,0.705179972
19.01,-0.130879424
19.51,-0.155514508
20.01,-0.392254512
20.51,0.659844321
21.01,0.061256897
21.51,0.275822563
22.01,0.301816971
22.51,0.54496153
23.01,0.342654142
23.51,0.450406049
24.01,0.800378934
24.51,0.844997493
25.01,0.743756539
25.51,0.519286563
26.01,1.129804197
26.51,0.579606659
27.01,0.650941305
27.51,0.695041469
28.01,0.146439765
28.51,1.234144784
29,0.835108295
0.51,0.165472901
1.01,-0.831668823
1.51,-0.841336019
2.01,-0.689363797
2.51,-0.580003613
3.01,-0.441104053
3.51,-0.603784619
4.01,0.081914755
4.51,0.168132966
5.01,0.005694432
5.51,-0.200698904
6.01,0.544931978
6.51,0.525904843
7.01,0.083338811
7.51,-0.01248867
8.01,-0.154497741
