depth_input,A07-P
10.01,0.098949898
10.51,0.386290653
11.01,0.102605024
11.51,0.097798181
12.01,0.152438426
12.51,0.087695051
13.01,0.107693925
13.51,0.174797374
14.01,0.381984023
14.51,0.217015499
15.01,0.123010273
15.51,-0.065844883
16.01,0.403115454
16.51,0.275120917
17.01,0.370914778
17.51,0.386170748
18,-0.013510226
0.51,0.940842299
1.01,0.856156912
1.51,0.573799986
2.01,0.199556025
2.51,-0.164160885
3.01,-0.058181208
3.51,0.0558141
4.01,-0.069810717
4.51,-0.029849502
5.01,0.206553469
5.51,0.098274482
6.01,0.092801901
6.51,0.10366738
7.01,0.0185066
7.51,-0.021907827
8.01,0.043574174
8.51,-0.265562436
9.01,-0.32602504
9.51,-0.470228211
10.01,0.455574238
10.51,-0.08717819
11.01,-0.078202461
11.51,0.100931345
12.01,0.032937002
12.51,-0.30824585
13.01,-0.206669051
13.51,-0.253351917
14.01,-0.36063495
14.51,-0.158302476
15.01,-0.216956574
15.51,-0.363328364
16.01,-0.441054161
16.51,-0.429108188
17.01,-0.335548767
17.51,-0.09650839
18.01,-0.153823115
18.51,-0.288152728
19.01,-0.303857184
19.51,-0.077254204
20.01,0.08997689
20.51,0.541506209
21.01,0.348870274
21.51,0.114321303
22.01,0.378965494
22.51,0.42656838
23.01,0.317632391
23.51,0.180295422
24,0.290829359
0.51,0.808084181
1.01,0.784061025
1.51,0.553769284
2.01,0.416807095
2.51,0.463583158
3.01,0.487804278
3.51,0.550916142
4.01,0.213402564
4.51,0.415144535
5.01,0.532262082
5.51,0.550928771
6.01,0.181087993
6.51,0.221891987
7.01,0.296409225
7.51,0.29249065
8.01,0.354979663
8.51,0.013244984
9.01,0.193716948
9.51,-0.033000571
10.01,0.292788067
10.51,0.083743498
11.01,0.421524422
11.51,0.109920718
12.01,0.02737171
12.51,0.001964769
13.01,0.126100787
13.51,0.168475578
14.01,0.201958188
14.51,0.043048838
15.01,0.31681315
15.51,0.103602045
16.01,0.180094019
16.51,0.125570123
17.01,-0.029142396
17.51,0.037974085
18.01,0.067575094
18.51,0.124634105
19.01,0.367040842
19.51,0.256335914
20.01,0.620901532
20.51,0.206466338
21,0.236120274
0.51,0.657371307
1.01,0.502821832
1.51,0.251795341
2.01,-0.639255695
2.51,-0.597357579
3.01,-0.718947961
3.51,-0.470812486
4.01,0.988617059
4.51,0.984809083
5.01,0.057195478
5.51,0.037279844
6.01,-0.352227011
6.51,0.146480256
7.01,-0.267959426
7.51,-0.136109997
8.01,-0.266484821
8.51,-0.173186307
9.01,0.073035165
9.51,0.567005636
10.01,0.557936547
10.51,0.556095168
11.01,0.289749944
11.51,0.400290502
12.01,0.75607615
12.51,0.415494393
13.01,0.221414753
13.51,0.187825205
14.01,0.044066045
14.51,0.142515889
15,-0.034997914
0.51,0.178284655
1.01,0.556334216
1.51,0.133191627
2.01,0.265919284
2.51,0.201233755
3.01,0.652518063
3.51,0.477766634
4.01,0.472883284
4.51,0.265554058
5.01,0.028086039
5.51,0.147406683
6.01,0.316091994
6.51,-0.150255124
7.01,-0.332957098
7.51,-0.216120433
8.01,1.064822405
8.51,0.645511642
9.01,0.616837934
9.51,0.527024142
10.01,-0.062356544
10.51,0.029031657
11.01,0.243644424
11.51,0.26872402
12.01,0.260371238
12.51,0.024889972
13.01,-0.039496305
13.51,0.274044895
14.01,0.290630401
14.51,-0.027244926
15.01,0.399060864
15.51,0.217880532
16.01,0.236723118
16.51,0.215735623
17.01,0.116215578
17.51,0.140716075
18.01,0.053808004
18.51,-0.125509163
19.01,0.008151058
19.51,0.176404449
20.01,-0.051899216
20.51,0.073509837
21.01,0.160202399
21.51,0.20906237
22.01,-0.010144808
22.51,-0.060410721
23.01,-0.065862887
23.51,0.202541808
24,0.311907444
0.51,0.602142843
1.01,0.421055311
1.51,0.328787823
2.01,-0.819981268
2.51,-0.74953332
3.01,0.183376161
3.51,0.421853027
4.01,-0.084062654
4.51,-0.03847682
5.01,-0.176816964
5.51,-0.077053068
6.01,-0.275648616
6.51,-0.351837318
7.01,0.0340053
7.51,-0.170320405
8.01,-0.213877022
8.51,-0.378188368
9.01,-0.246526717
9.51,-0.13516814
10.01,-0.365307905
10.51,-0.2517017
11.01,-0.378365663
11.51,-0.279899519
12.01,0.784311226
12.51,0.984195316
13.01,0.327022071
13.51,0.247134399
14.01,0.199014462
14.51,0.159766947
15.01,0.559154968
15.51,0.468585705
16.01,1.030252195
16.51,0.930200659
17.01,0.506236523
17.51,0.602235451
18.01,-0.544162508
18.51,-0.643756797
19,-0.663436164
0.51,0.968938344
1.01,1.120466917
1.51,0.220052593
2.01,0.085581716
2.51,0.069541042
3.01,-0.190327785
3.51,-0.182206284
4.01,-0.15510085
4.51,0.078920919
5.01,-0.102517857
5.51,0.373791936
6.01,0.379751429
6.51,0.209894521
7.01,0.700131083
7.51,0.59024008
8.01,0.388271723
8.51,0.486462835
9.01,0.728718216
9.51,0.489455509
10.01,0.241324355
10.51,0.167016692
11.01,0.135973861
11.51,0.169755182
12.01,0.149303452
12.51,-0.001414955
13.01,0.128922729
13.51,0.078319753
14.01,0.119484787
14.51,0.073722652
15.01,0.063257289
15.51,0.145740958
16.01,0.184721178
16.51,0.166945871
17.01,0.290629939
17.51,0.533365239
18.01,0.054863445
18.51,-0.203065201
19.01,0.500604369
19.51,0.688611621
20,0.748629453
0.51,0.33804964
1.01,0.858574436
1.51,0.16357042
2.01,-0.045604554
2.51,-0.40340853
3.01,-0.308672433
3.51,-0.109401323
4.01,-0.009554474
4.51,-1.158409343
5.01,-0.467984593
5.51,-0.116346663
6.01,-0.039579194
6.51,-0.232779364
7.01,0.206644342
7.51,0.101018719
8.01,-0.275616006
8.51,-0.086181002
9.01,0.470475109
9.51,0.646152937
10.01,0.281805693
10.51,0.023242907
11.01,-0.094005946
11.51,-0.247351837
12.01,0.508686205
12.51,0.140437224
13.01,-0.841289584
13.51,0.22276447
14.01,-0.719797738
14.51,0.384383036
15.01,0.680352139
15.51,0.373705202
16.01,0.274331087
16.51,0.59624872
17.01,0.308837263
17.51,0.067795403
18.01,-0.105476731
18.51,0.067511407
19.01,-0.094370362
19.51,-0.261030352
20.01,-0.270853174
20.51,-0.349481293
21.01,-0.347394449
21.51,-0.382223338
22.01,-0.3602821
22.51,-0.41904038
23,-0.461751284
0.51,1.837123439
1.01,-0.306901421
1.51,1.163044996
2.01,0.144241594
2.51,-0.28164333
3.01,-0.137136381
3.51,-0.306391444
4.01,-0.106407708
4.51,-0.201518725
5.01,0.058808426
5.51,-0.153839189
6.01,0.171102027
6.51,0.06287564
7.01,0.106407052
7.51,0.393517224
8.01,0.482579747
8.51,0.14300286
9.01,0.022702667
9.51,0.023556683
10.01,-0.407566158
10.51,-0.46705473
11.01,0.365846522
11.51,-0.252421693
12.01,-0.309360447
12.51,-0.251930146
13.01,-0.302732758
13.51,-0.179403453
14.01,0.041973495
14.51,-0.23228014
15.01,-0.254551928
15.51,-0.117244645
16.01,0.045712949
16.51,0.368931898
17.01,0.150599561
17.51,0.157439656
18.01,0.156031224
18.51,-0.004557389
19.01,0.141636264
19.51,0.454725602
20.01,0.369316175
20.51,0.047831818
21,0.227156953
0.51,0.70361567
1.01,0.736470904
1.51,0.538761929
2.01,0.544407753
2.51,-0.166030865
3.01,-0.760417162
3.51,-0.674904368
4.01,0.046372529
4.51,-0.455686806
5.01,-0.157521984
5.51,0.348243089
6.01,-0.268956151
6.51,0.1163333
7.01,0.157326556
7.51,0.518662095
8.01,0.297782073
8.51,0.169378131
9.01,0.601516098
9.51,0.353734986
10.01,-0.006570522
10.51,0.288000027
11.01,0.335143816
11.51,0.238048279
12.01,0.258234277
12.51,0.171926443
13.01,0.385353051
13.51,0.318572645
14.01,-0.006636128
14.51,0.246366533
15.01,0.003252554
15.51,-0.063074947
16.01,-0.005159124
16.51,0.070601008
17.01,0.1184263
17.51,0.303481462
18.01,0.193780988
18.51,0.046102887
19,-0.178745072
0.51,1.169483548
1.01,1.039115715
1.51,0.347567914
2.01,0.442760638
2.51,0.250282959
3.01,0.413558414
3.51,-0.075618382
4.01,-0.029016034
4.51,-0.097164234
5.01,-0.206202938
5.51,-0.016414267
6.01,0.111679628
6.51,0.036855425
7.01,0.126525639
7.51,-0.045291505
8.01,-0.346695286
8.51,-0.21327345
9.01,0.380365835
9.51,-0.092783431
10.01,-0.100606817
10.51,0.007928149
11.01,-0.122977951
11.51,0.091295426
12.01,-0.023643479
12.51,0.38256329
13.01,0.027475062
13.51,-0.212603157
14.01,-0.201505925
14.51,0.268147097
15.01,-0.187075869
15.51,0.500672855
16.01,0.737100865
16.51,0.685288747
17.01,0.195495453
17.51,0.126953949
18.01,0.254797784
18.51,0.176636727
19,0.393125974
0.51,1.151453671
1.01,-1.031957256
1.51,0.830919734
2.01,-0.036613198
2.51,-0.714669919
3.01,-0.093642843
3.51,-0.129749032
4.01,0.062493853
4.51,0.102065737
5.01,-0.095529488
5.51,-0.595066189
6.01,-0.172076777
6.51,-0.044503803
7.01,-0.130554152
7.51,-0.064303808
8.01,-0.052697631
8.51,0.170530001
9.01,0.067240615
9.51,0.260268218
10.01,0.709014036
10.51,-0.131658122
11.01,0.169563489
11.51,0.302858749
12.01,0.005797931
12.51,0.005950185
13.01,0.122940433
13.51,0.20156963
14.01,0.525085492
14.51,0.42757318
15,0.727328971
0.51,1.456227183
1.01,0.01822143
1.51,-0.031176114
2.01,0.221961193
2.51,0.098440978
3.01,0.211469673
3.51,-0.019197487
4.01,-0.104639988
4.51,-0.139619816
5.01,0.062618821
5.51,-0.183183347
6.01,0.006159279
6.51,0.232494357
7.01,0.144324924
7.51,-0.136775565
8.01,0.041231428
8.51,-0.062640132
9.01,-0.130028823
9.51,0.019592707
10.01,-0.129451309
10.51,0.536311312
11.01,-0.440798182
11.51,-0.18837037
12.01,-0.032966785
12.51,-0.58248232
13.01,-0.32451936
